1: 245区，幻音坊急收人啊。求伙伴

2: 画面还好，但是战斗时近战人物居然是远程攻击，隔着大老远就能砍人真是醉了，动作和打击感可以说是零分。

3: 165区找伙伴

4: 我就打了一次兽就没见猴子

5: 游戏很棒！说游戏卡的不是手机不行就是网不行

6: 好好玩诶

7: 我也进不去！

8: 游戏是挺好，不充钱也能玩。不知道为什么我玩这个游戏以后手机就就开始死机。（后台运行的时候，玩的时候没事。我用的oppoR7）

9: 玩了这些天，这个游戏总得来讲，补充钱想玩好需要时间比较多，而且也比较慢，还有就是Pk系统抽牌很垃圾，基本上最多也就抽到铜钱，至于想抽到元宝基本上很难很难，暂时就写这么多

10: 这个游戏越玩，问题越多。如今山门过不去，山门中卡死。龙泉打怪卡死！百炼中不能换侠客，一换侠客就会卡死。好像大多的安卓5.0系统以上的手机问题很多

11: 我勒个仙人宝宝的，进不去！玩呢！浪费我那么多流量！！赔！

12: 这游戏这么多好评。为啥我从一选角开始就不想玩了。为了能在游戏里吐槽几句，毅然坚持到5级后，吐槽然后卸载。

13: 被这游戏的宣传跟画风欺偏了。纯粹10岁以下儿童回合游戏。艹

14: 更新后每日签到福利不让领取了，为什么

15: 更新无法安装，重新下就网络异常，还让人玩吗？

16: 一直会卡闪退，打怪兽进去都不敢乱点，也不敢乱动，怕等下打到快死的时侯掉了白打。这问题能解决不？要是说我们手机问题，那估计以后也会少玩。游戏设计不错，就是这卡机，闪退，玩的真心累，比如一打架就掉，打百练掉个十几二十次，以前，现在还会掉，就是好一点，但还是不流畅。

17: 为什么我更新了还玩不了，从新下载也玩不了，上去就提示有更新，点更新还出错，怎么玩啊

18: 快点更新啊，别人都在玩了，你们360在搞什么飞机

19: 快点更新出最新版本呀，我要下载呀

20: 为什么今天的新版本下载不了？

21: 更新版本还要重新下载  真是醉了  别的手游都是只下载更新包就行  这个倒好直接重新下载游戏 100多M服了

22: 什么时候出更新版本 有的都出来 了

23: 为什么进不去了

24: 领的礼包从哪里看啊，好不容易领了个，找不到了

25: 这么黑的游戏还没倒闭？？？

26: 竞技场，排名怎么出问题了

27: 开始玩还挺好的，到后来觉得玩法太少了，只有几种玩法，腻了

28: 这款网游不错，玩了半个小时没有发现闪退，卡画面现象，说闪退跟卡的友友们，初步估计是手机前端内存不足，还有处理器不兼容问题，本人手机前端内存是3G，有些手机前端内存只有512M，或者1G，软件安装运行一多，闪退跟卡机，那是肯定的了

29: 这平台很好，就是礼包相对少了点

30: 闪退

31: 买个表的。给个差评就封号。居然登录错误

32: 没有天龙八部好玩，卸载了

33: 很好奇和黑无常合影是什么样的，结果一点就黑屏了，只能重启手机。

34: 都要合服了，这平台还是没有返利。。。

35: 太差的手机就别玩了，国产机子根本不行

36: 怎么一进去就会闪退出来。我的是联想S820

37: 为什么更新以后闪退，能不能好好更新啊！

38: 三星s4完美闪退

39: 今天登陆不了了那217区，这今天就登陆不好用卡赶快解决

40: 返利。。返利。。。返利。。。。

41: 523区呢

42: 困兽囚笼打boss闪退9月30日的问题，联系客服后一直是调节反应，一点补偿都没有。

43: 这游戏的特色就是闪退频繁，这是别的游戏比不了的。建议闪退频繁的玩家买个十万元人民币的手机解决这个问题。

44: 原来一直都挺好的，从昨天开始一打斗就闪退，如何玩啊

45: 360为什么没有返利，别的平台都有返利和我一起玩的在7118充值比我少花一半的钱和我一样的VIP，真tm不合理

46: 我去尼吗的，垃圾游戏。重新下载了之后，又卡又闪退，根本不能玩。。

47: 这垃圾游戏，，重新下载完啦，闪退的更频繁啦，别说手机的问题，手机没问题，垃圾游戏

48: 为什么登录别人的帐号，显示的确是自己的角色？

49: 很好玩，只不过手机配置不行的就不要下载否则卡死你

50: 我擦，什么破游戏、服务器一直加载不了还玩毛，差评

51: 虽然一直在玩，但是从一开始就发不了语音，求解决

52: 我之前闪退，现在不闪退了。天天玩，这游戏可以。因为我就很喜欢这国产动漫！

53: 游戏还行，但是这2天登不上，一直是等待中

54: 过节游戏就没有人维护了吗？都卡成啥样了，更新后老闪退求解释，这游戏什么样的手机才能玩求明示，别出问题就往手机上推。别的游戏人家怎么不说手机问题。

55: 除了打的激烈就闪退其他也没什么特别情况啊  还可以啊  我三星

56: 快下完了它说我网络异常，什么意思？！

57: 闪退也就算了，死机是什么鬼？！最低的设置也不行吗？我的3d现象虽说会很卡，但是不至于闪退，更不至于死机，一半以上的问题应该出自于应用本身，所以要改进了，还有那些喷脏话的，连绵不绝，究竟是为何。建议把世界聊天取消掉吧，有帮派和个人就够了。

58: 闪退啊，希望能再优化，对手机配置要求不要太高

59: 为什么更新后玩，一直闪退，求解释。我用的红米手机，更新前一直很好。

60: 妈的，我玩的时候一直闪退。


61: 为什么没有不良人陆佑劫

62: 画质棒,3d效果也不错,全程wifi红米处理也跟得上,国产的游戏形式都是这样,玩什么都是玩,就看你喜不喜欢这个动漫.

63: 下载满了和不动了 内存够 以前下载了然后又删了现在安装不了是什么情况 求解

64: 无脑游戏

65: 愿游戏越出越好，让大家能开心过个国庆

66: 用户登录失败？呵呵哒

67: 怎么老半天就一直是努力加载中

68: 为什么别的平台都有返利，就360没有，同样的VIP级别，比人家多花一倍的钱，太坑了吧

69: 设备掉线是神马回事

70: 有时候发不了大招，手动都不可以

71: 怎么走完进度条就闪屏呢？是今天维护吗

72: 求帮助，vIp5玩家，进不了游戏，QQ2755058839...急急急

73: 怎么咯，还是进不了，为什么对待VlP玩家的吗？

74: 我半月前更新下载后找不到原来的帐号，我原来是用微信号登录的，原来在陆氏父女那个区现在怎么也找不到，联系微信号：65575058

75: 不良人找不到哪区了怎么弄

76: 为什么登不进去了

77: 怎么这两天老是进不了游戏

78: 下载了，更新了，安装不了，什么情况？

79: 为什么下载完安装不上了？

80: 画面特别棒，非常好，不过玩法如果是刷怪格斗类的我会特别喜欢，个人喜好觉得，可惜了画质了

81: 新人物不会出技能，我去

82: 千篇一律的游戏模式，玩了五分钟，就五分钟删了。

83: 为什么我更新了，最新版本，结果登录了，重新创建人物了，谁能帮帮我！

84: 希望可以找回之前的角色，毕竟也才充了两天的月卡，本人QQ号:892648641，角色:Ss丶萌太奇

85: 我之前都是QQ登录的，为什么更新完不能用QQ登录，出问题了么？

86: 手机啥闪退！卡住不动？嗨～自己手机垃圾就别BB了！俺俩年的三星还是完美游戏！啥毛病没有！加句，信号要求也不高！

87: 明天中秋没有礼包发没吗

88: 我想知道为什么更新后就进不去了

89: 我怎么下载不了吗，能不能帮忙解决下

90: 下次更新能不能先试试能不能用？昨天到现在一直都不能玩，晚上处理不好，以后360绝对不会出现在我的手机上

91: 什么渣渣啊 平板下载在选服的界面停止运行，还以为是平板问题，后来手机下载也一样，能不坑？浪费我流量，真是后悔在360下载游戏

92: 这次更新又进不去了？上次就这样吧？为什么不处理好了再拿出来让玩家更新。总是这样！算了，等你们弄好了我再玩吧

93: 尼玛的，更新完就进不去啦！这是不让人玩吗？

94: 老是闪退，对得起我们rmb玩家么？什么破手游

95: 为什么我的人物不见了，是不是区换了,还是是名字改了

96: 我已经下了两次了，都进不去

97: 这怎么回事啊，更新了老是闪退

98: 我原来的区不见了在233人物也不见了，求给个说法

99: 更新后咋登不进了

100: 更新后闪退

101: 下载不下来

102: 更新前我的号是在72区天地玄黄，现在怎么找不到我原来的区了呢？角色也不见了，请客服给个说法，或者说这个区是改名字了还是什么，给个3星

103: 上午更新完版本就进不去啦！！直接提示停止运行！！都下午两点多了！还能行了吗？对的起不良粉们吗？何况是RMB玩家！！！

104: 更新后闪退！

105: 闪退  不能玩

106: 我也是以前号沒了

107: 一直安装不了

108: 安装包错误，怎么回事。以前的区都哪去了。还得新练号。我以前的号怎么办

109: 更新之后原来的区忘了怎么办

110: 能不能行了。更新包错误。怎么进去。下载个新版本也不行。到底怎么才能上去

111: 开始玩的蛮好的更新之后就进不去了，一直加载中，操，本来还想给钱5星的

112: 为什么刚升级了，进去就闪退，这怎么玩下去？

113: 还让不让玩了，就一个服不说一直加载中，根本进不去，这什么节奏？再这样直接删

114: 进不去

115: 总是加载中根本进不去，没跟新前玩着还不错，今天想继续练号结果根本进不去，还有为什么全是安卓服，原来的呢？这是要重新练号的节奏？

116: 什么时候开新区

117: 这个跨服版安卓苹果能一起玩嘛？

118: 360重来不返利。其他平台都返利。大家考虑清楚

119: 一直加载中是怎么回事

120: 还是挺有意思的，我是看完动漫来玩的

121: 五次天梯四次闪退都算输，怒了，刪掉。

