1: 怎么找客服  啊  我现在账号上不去了

2: 我玩了一年多  结果被封号

3: 为什么我登录以后，选好服务器了，就是进不去呢，怎么回事

4: 一个不充钱也可以高战的游戏只要你小号多很好玩一直在玩

5: 游戏还可以   但是  客服处事不公  而且眼瞎   太不公平了

6: 人民币玩家进入，要是没钱就没人算权！

7: 人民币玩家进入，要是没钱就没人权！

8: 太好玩了

9: 这游戏太客服是傻逼  人家骂人不禁言  我回骂 禁言老子   大家别玩了

10: 还可以

11: 听说挣眼说瞎话的人死了投胎转世有眼看不见，有口不能说

12: 玩了二天还不错，但你上面说首充双倍，可充了没有双倍求解释呀

13: 还可以吧。

14: 超卡，光黑频，更新了就是进不去

15: 好玩

16: 我100级啦也结婚啦是在游戏里

17: 我才50多级，感觉好卡！！！

18: 好好玩。。玩了几个月了。

19: 我都升问世天龙了！

20: 今天合服人多，所以系统反应慢

21: 我的银行卡和别人的账号绑定了，怎么解除绑定？那人已经偷偷拿我银行卡刷了五百多块钱了

22: 那你的手机内存不足，我用的手机是酷派8295玩起来挺好的，没什么问题，什么游戏到可以下载！我建议大家到用酷派8295，希望游戏爱好者到用！

23: 为什么任务做到汾州城是画面就是一片黑？

24: 进不去，一直在画面，进度不走

25: 为什么自从更新了后每次等进去都要闪退，请给我们玩家一个解释

26: 操尼玛。垃圾游戏。进去了还没有画面。求大神们解。

27: 好软！！！！

28: 为什么会没有画面出来，我靠，垃圾游戏

29: 吗的更新了玩不了了，垃圾了

30: 艹，不是说今早上4点到6点就更新好么？尼玛现在8点半了，老子登游戏更新数据，半天尼玛更新不好，坑比游戏，还想老子冲钱，冲尼玛比

31: 不是说更新两小时吗这都三小时了还没有更新好郁闷

32: 我为什么可以登陆游戏，切进不去？？？？求个解释

33: 这游戏越来越卡了，一区老玩家，根本没法玩，一直卡掉

34: 很给力，就是他吗g m合区不给力，瞎鸡巴乱合区，拖满地飞

35: 蛮好玩的

36: 兰陵王3区13万战谁买

37: 我是觉得游戏不错··别听别人瞎说··自己试试就知道了

38: 有没有明天一起来新服的

39: 玩了别的游戏，还是觉得这个好玩

40: 明天开新服了·····爽歪歪

41: 今天怎么进不了游戏了

42: 太卡了

43: 为什么我登入游戏是黑屏

44: 用手机流量玩游戏。十小时大概多少流量。求大神指教

45: 这个才是好游戏。PK走起

46: y游戏还挺好的。就里面的托太尼玛烦人

47: 更新之后总进不去游戏

