1: 为什么一开数据登陆360账号就老闪退，为什么为什么，

2: 这不是单机游戏吗？登录帐号也不会有数据吧

3: 真是够了，以前也是用360的账号玩的，换个手机记录都没了？几个意思，太恶心了吧，还有一直屏幕自动翻转，几个意思，多碍事

4: 真是气死了，躺着玩会屏幕一直转来转去的，能不能给他固定

5: 什么烂游戏呀？一也不好玩

6: steam上有这游戏，免费的。。。

7: WTF!为什么和官方的不一样

8: 啥子烂游戏嘛！和粉碎糖果一样，不能同步，刷机过后下载又得从头开始，我是一颗星都不想给的，果断删除。

9: 下载了却进不去

10: 没360登陆了，我所有的道具啥的都没了，不开心

11: 再不更新就删你丫的

12: 为什么要加好友，定向邀请，输入别人的uid说，无效的uid ！ 搞得想跟朋友一起玩都不行！

13: haohaowaiai!

14: 通关好久了,什么时候更新啊

15: 更新更新......

16: 以前玩的好好的，现在为什么玩完了不能保存进度，每次都要从头开始玩，什么啊自己毁自己呢

17: 没登录，游戏不能继续

18: 我还没玩儿呢

19: 挺喜欢的，玩到了四十多关然后……每一关都要打好久

20: 为什么没有360登录了T^T

21: 啥时候更新啊

22: 到后面一直卡，白白浪费了心，如果不联网还好，一联网360就显示出登录，接着就是闪退，这是登录不了的意思？

23: 冰雪奇缘不是有用户名的吗?怎么换了个手机，重新下就没有了，又要从头玩，

24: 还好 对手机配置要求蛮高的

25: 好玩有360

26: 没得360登录，老闪退

27: 为什么没有360登录了！！！！！！！

28: 这是什么游戏啊，是不是每关都是获得足够的分数啊，无聊啊，

29: 以前刚开发玩了阵，挺好玩没啥毛病，这换了手机，又下载玩了4关，退出了，这会再进一直闪退！10几次了还没进去！真垃圾

30: 火炬咋个用呢

31: 屏幕老转个鬼啊，，玩到一百多关开始卡退，，，无语了，还想着玩夏日关卡的，，

32: 手机恢复出厂设置后记录没了！360登录没有了怎么找回！玩到270关容易吗！花了我多少颗心啊！

33: 以前用360玩的。现在怎么没有360登录了呢？

34: 老是闪退

35: 这个破游戏移动转屏烦死人了！还有那个75关真实变态过关全靠运气！MD变态！卸了你姐不玩了！

36: 闪退是几个意思

37: 为什么总是闪退？

38: 以前玩用360帐号登录，中间有段时间卸载了，怎么现在没有360登录了？

39: 我不建议你们下载咯，这屏幕会转弄不到的，而且玩了一半还可能卡，卡了的话要重新开始，就是没有一颗心

40: 怎么还不更新啊，太渣了

41: 屏幕自动旋转好烦啊

42: 挺好的，但是横屏有点累

43: 每次一联网就没反应，死机。玩着玩着还自动转为横屏。

44: 不推荐！首先是游戏会根据屏幕转动而转动，这是个弊端，而且关不了，躺着的时候想玩非得竖着屏。其次软件总发一些信息，也关不了！显示我有好友送我爱心，打开一看一个好友都没有！可玩性一般

45: 总是闪退，钢价在玩就闪怎么回事啊！！！！！

46: 怎么还不更新啊。通关好久好久了

47: 挺好玩的，！！！

48: 玩着还行，但是总是闪退是怎么回事？？退出来再就进不去了！！！

49: 还行

50: 555555   在电影里安娜真是良苦用心啊

51: 挺好玩的，暴喜欢“1O分难合成”，给力

52: ~好

53: 游戏不错，背景音乐也很棒。

54: 我希望制作游戏的人把道具收费改成不收费可以吗？

55: 玩完了 什么时候更新啊 唯一从出的那天追到现在的游戏

56: 要网络吗?各位

57: 換了手机我的540关都没了打了两年好郁闷喔

58: 什么时候再出艾莎的挑战，现在两天才可以抽奖一次，道具严重不足

59: 狗屁，奶奶的闪退

60: 我想备份游戏到另外一台手机去……求大神指教

61: 棒棒哒，画面很清楚，就是有点慢，加载很慢

62: 怎么把成绩发到玩家排行榜上去啊，我已经全部通关，540关1620星，没的玩了，也不知道还有没有更新了！

63: 天啊到底怎么保存进度啊！！！

64: 好玩，提供给大家玩哦

65: 什么时候更新啊？我都玩完了

66: 大神们，有办法跳过关卡吗？

67: 挺好的

68: 画面不错但是老闪退

69: 好好好好好好

70: 只要开网就闪退，以前也不这样啊

71: 自从我有了这个游戏，手机就很卡，还自动退出，一点都不好玩

72: 自从有了这游戏之后就很卡，游戏都自动退出，一点都不好玩。

73: 怎么才能登陆360账号呀？？？？

74: 超好玩

75: 为何还不更新！！！！！！！我都通关好久了！！！！

76: 换了手机记录就消失了，还以为可以继续360登录然后能保存记录的，结果换了手机连360登录都消失了

77: 不错   挺好玩的

78: 还不错，最近有款@16的奇迹@挺好玩的！

79: 卡在夏日54关一个月了，郁闷啊。

80: 怎么还不更新啊

81: 怎么之前用账号登陆现在没有了，之前玩的都不在了！怎么回事？？

82: 更新之后不好玩了，老是闪退，停止

83: 狗1的还要钱

84: 好玩吗？今天才下。

85: 一直闪退怎么破

86: 就因为道具收费所以难度普遍比其他三消游戏大这也太不合理了吧，同类型其他跟这个相比好太多，游戏体验感觉完全不一样。就五颗心还门槛设这么高的我还是手动拜拜，可玩性太低。

87: 我的不能登陆了。没有登陆那个图标。怎么回事？？？

88: 好玩

89: 怎么总是加载啊，打不开，要不就是停止，什么情况不让玩阿！

90: 卡在夏天的155半个月了唉太难了

91: 尼玛的垃圾我都不想说什么了！

92: 冬季一直过不完了

93: 什么时候更新啊，尽快更新吧

94: 升级安卓5.0后闪退，坐等更新。

95: 游戏需要联网吗

96: 屏幕会自动转动这个很麻烦 前面机关说有送你两个免费的道具其实也可以不用 要是按周围的东西按不了你就点两下道具 当然雪球是不能多点的那是用来加步数的  有时候屏幕还会黑屏但是按一下开关键就好了 退出关卡和未完成都是要消一颗❤的但是如果你是完成了但是没有达到三星要重新过是不用❤的

97: 游戏画面很棒很精致音乐也还可以但同时也存在一些问题，每次加载的时间略长 听说有些人退出会要重新过 但是我试过退出又进去但是没有要重新来 也有可能是我退出时间太短了。

98: 闪退闪退，骗了我好多钱啦！每次买道具过关的时候它就闪退！垃圾！再也不玩了！

99: 怎么老会闪退，进不了，什么问题呀

