1: 又变一点了  还开不开啊。

2: 什么时候开。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。

3: 我从第一次内测就开始玩，感觉还不错，希望也照顾一下我们1.0的

4: 我没升级，挺好玩的，快70级了。不过经常闪退有点麻烦。

5: 老子的千秋大业没了

6: 我以前的记录呢？还我记录！

7: 垃圾游戏，纯属坑钱，不充钱你玩不下去，我冲了1w，麻痹还是打不过别人，实话说，除了排行榜前十，其他我都能虐

8: 勉强三星，闪退闪退还是闪退

9: 为什么登录不上去

10: 垃圾游戏，光闪退，白冲钱了

11: 好有趣

12: 以前的白玩了，我还几个区都有号，白辛苦了，我就呵呵了。。改版不是不给你改，但是记录留着可好？

13: 白充了

14: 建筑tm的都建不了

15: 我擦     怎么老是闪退啊

16: 好棒达

17: 好无聊

18: 为什么我之前玩的记录都没啦？？

19: 我想说不管是旧版还是新版老是有一打开建筑物就闪退的情况，然后只能重新下载，周而复始

20: 是不是和老版本一样，难弄的很，他们只是改变了更新的东西而已吗，仍然是土豪级游戏，不重几万人民币玩不起来。

21: 我想可能是因为原本的没太多人玩，所以重做了，只是只与重做的好不好是另一方面的事，其实这次冲钱的重玩，应该不算亏，因为返5倍钻石，只前的应该可以回来，只是可能要花费一段时间，对那想玩的不算什么，其实不转也可以，我不知道有没有新活动，希望在老版本再出一次基德的滑翔翼，我现在有一万钻了应该可以买，不然基德没滑翔翼看起来不爽，你们转过去的感觉新版本好玩吗？人物好弄吗？还有其他东西，还是说很难弄，老样子没变

22: ，就两服就不说了 ，起完名字点击开启游戏就是打不开 呵呵了 原来的多好玩

23: 你们没看更新介绍吗？重做了，不知道更新后坑还是不坑，之前的白玩了

24: 怎么没有一点反应？？？？？？？？？这游戏是要闹个什么？？？？为什么只有两区了？？？？？

25: 怎么就剩俩区了？

26: 怎么就两区？

27: 为什么更新之后只有两个服了？？？求解！！！挺急的！！！在线等！！！

28: 好玩，我喜欢柯南

29: 太无聊了吧。

30: 不错

31: 什麼玩意改個名字都一直存在玩個卵啊!

32: 为什么会崩溃啊啊啊啊啊啊

33: 我玩的啥毛病都没有，没有充钱但耐玩，这个游戏该开始的时候还送了我七元代金券，冲五元就是VIP1。可能是每个人感受不同，我觉得还行【我不是小学生】

34: 不喜欢，从进游戏一直大概有二十分钟都是新手指引，其实根本就没有人仔细看，看了以后还是不知道怎么操作，还是要自己摸索，所以完全就是浪费时间。就因为这一点，这个游戏说实话我是不怎么喜欢的……

35: 这款游戏打开完之后还可以，但评论都是一般，也没有银翼骑士好玩，所以给三星，希望再接再厉！

36: 垃圾  老子转盘活动3000钻石得个第一名什么奖励邮件都没发   卧槽他呢的

37: 进阶难！

38: 73大叔的原著漫画呀！为什么会变成卡（牌）？

39: 总体还行，不过有时会闪退真的很烦

