1: 三星N0te3，能安装不能打开，黑屏

2: 垃圾，动不动扣钱，没点到要钱的也扣钱，扣了三十几块，真是垃圾，别要下，不然话费都被扣完

3: 垃圾，要钱的，小孩不小心点了三十多块钱，直接扣费

4: 要钱的！！！

5: 这游戏好像鳄鱼小顽皮爱洗澡！

6: 安装时太慢了

7: 还好，挺喜欢“1O分难合成”，耐玩免费休闲

8: 不好玩

9: 喜羊羊，你再装B，就让美羊羊来包容你

10: 什么玩意

11: 玩儿着玩儿着，突然弹出来了，太差了

12: taiqia 。

13: 太卡。

14: 要钱，不好玩！

15: 哼！第十关就要钱，不要下载!

16: 好玩极了！

17: 闪退，鸡巴。

18: 不要下载

19: 老4闪退，大家千万别下

20: ,,,lm,lmklkmkmklkm,

21: 太差,骗人,还我钱！这13关就死了……

22: 犬马甲

23: 不要下

24: 老是闪退

25: 不好玩,要钱

26: 不好玩!要前！

27: 不好玩，还要钱买关卡

28: 不好玩

29: 好玩极了！

30: 找老公，

31: 太好玩了啊！

32: 老是说停止运行

33: 好玩

34: 好玩

35: 爽歪歪，好玩

36: 尼玛！付费！！！

37: 你已经说两遍了。

38: ，你不知道就别乱说。那不是有炸弹啦！鳄鱼小顽皮。

39: 要钱，不好玩

40: 太好玩了!

41: 我在来古代区路了

42: 不付钱也能玩，请到破解版

43: 什么啊，不懂别瞎说，这个游戏和小鳄鱼爱洗澡分明是出自于同一个作者之手的，不信的可以看看最底部的作者其他作品。

44: 草，进不去的。下了也进不去的，大家千万别下！

45: 还行，挺好玩！

46: 太太太好玩了!

47: 我玩的《喜羊羊小顽皮》不是迪士泥的，而且是免费的，不像你们说的那样进不出

48: 什么破游戏怎么启动不鸟

49: 好玩，就是只能试玩。

50: 一点儿都不好，还要钱，玩几关就要钱，千万不要下

51: 我有破解版的

52: 非常好玩好好玩

53: 草泥马 

大家千万别下载花16元，还要3000金币

54: 手机521

55: 什么游戏  进不去

56: 打不开！！！啊！！！！！

57: 你妹！买东西要收费！

58: 什么游戏，整天只知道收钱，

59: 热热热

60: 即好玩，又闪退

61: 试玩几关就要钱，太不给力了，千万别下。

62: 不是免费的，而是收费，下载很慢，无语！

63: 国内果然是盗版的基地

64: 就是顽皮小鳄鱼的盗版

65: 垃圾，，，，闪退。。一分都不值

66: 垃圾游戏，关卡不是全的，玩到后面还要付费，二货！2B!

67: 要钱的，千万别下！！！！
跟小鳄鱼爱洗澡一样

68: 垃圾游戏 闪退 卡死

69: 老闪屏 游戏还是不错的 谁告诉我闪屏怎么解决？

70: 闪退    不好

71: 垃圾,浪费时间,要钱的

72: 还好啦，虽然说要交钱

73: 打不开

74: 网上有破解版的

75: 除了要收点钱外游戏还是很不错的，可以赞一下

76: 游戏不错，听说最近另一个给力游戏在做活动哦。。玩游戏赢现金赢小米手机哈哈。。<妖姬塔防>下载去吧。。。k6

77: 狗屎(>﹏<)

78: 居然

79: 很好玩！！

80: 垃圾。进去的时候一直在加载！

81: 二！要钱的！！！！！

82: 要钱吗？

83: 卡巴卡巴就死机！

84: 这年头心的黑到无比这黑，这样的商家八辈祖宗都得不得好死。真吸钱啊！！打开游戏没干别的孩子一点就吸了9元，泥马你有人性吗不得好死的玩艺！！

85: 垃圾中的战斗机。要钱的！

86: 我是VIP玩家。

87: 还要钱，超级垃圾

88: 非常不错。

89: 没他妈小鳄鱼好玩，还要钱，真他妈垃圾

90: 一点也不好玩

91: 要钱，一点都不好

92: hsrx分析帮助他z，
pncx4
啊 sina

93: Ml 追追软大

94: 骗小孩花钱，SB

95: 真好

96: 经常玩超级连连看2.很好玩

