1: 为什么进不去！！！

2: 可以

3: 更新完後 黑 無法進去

4: 更新成0.6.2就上不去了，

5: 不错

6: 我联通卡冲了30元都显示冲进去了～买月卡～居然啥也没有～坑人～

7: 2b的垃圾游戏。

8: 这个游戏一晚上耗费我几个G的流量，他们技术人员还说这是正常现象，我们玩家的利益还有没有保障！？

9: 一晚上服务器进不去，什么鬼

10: 选择任何服务器都进不去

11: 还不错值得回忆

12: 而且雅典娜基本上是满血的，郁闷

13: 守护雅典娜变难了。打到第九关也就打了不到十回合敌人就跟我同归于尽了。而且我的主力基本都在我也不知道为什么。

14: 好玩!

15: 不会玩别骂游戏!

16: 配音好SB

17: 非常好玩。

18: 前期还可以，后期打副本有点吃力  求后期副本削弱点

19: 进去就黑屏

20: 120服，1226万战。马上85级。南风不竞。主力是5星主角，牛，穆，，加秒，修罗，大艾，4星女神，沙加，，正在培养小艾，童虎，一辉，差3碎片出撒加

21: 还行吧，玩了一阵子了，在86服，120多万战力，还可以，慢慢玩，打发时间可以的。

22: 根本进不去。

23: 配音官方回复知名配音。。。好吧，除了最早的译制片我真没觉得哪个配音好听了。还著著名。。。我都是关了音乐玩的。都授权了，拜托弄个原生声啊。玩了几天还行。另刚没事翻了下评论发现一个辛苦的水军。。。挣钱不容易啊!

24: 为什么我9点还能上去打boss，11点就登陆不上去了呢！

25: 放大招配音用原版的就完美了

26: 好爽

27: 游戏不错，儿时的回忆，80后必玩的，不过游戏有很多地方不足，毕竟平民玩家多应该多照顾下平民玩家，比如高级神秘商店，vip可以提前开启，平民玩家，到了固定级别在开，比如55～60之间不然差距太大了

28: 我仔细比较了主人公和艾欧里亚一模一样，圣衣也一样，有这样偷懒吗？应该好好设计一个全新的主角造型，不过游戏还是挺好，毕竟80后有圣斗士情怀，明知是个坑，也挡不住诱惑，自己主动往里跳

29: 玩了一天，今天服务器连不上，，，，，这是什么鬼？？？？？后来翻译不过瘾啊！钻石星辰拳改成曙光女神之宽恕，我勒个去！！

30: 这配音真的够了，完美你们不至于吧

31: 我游戏人物怎么没有了？

32: 尼玛玩这个的都是有钱人吧

33: 为嘛一抽卡就闪退

34: 现在为什么上不去游戏

35: 为什么总是敌方放技能的时候背景变黑，然后就卡住了。登录时卡在跟新界面，是360代理的问题吗？

36: 更新了？

37: 好，很好，打赏

38: 能不能添加几个冥王神话中的人物啊

39: 为什么人物没哈迪斯和潘多拉

40: 为什么冥王篇出来的时候出现闪退，以前没有的，不是说修复吗。。。

41: 。Y的，今天听说同心锁可以换教皇一激动，结果一看仓库，昨天30个同心锁都没了，这是大bug啊，欺负人

42: 抽卡明明写着免费的，还拿了我280钻，我还要攒两千许愿呢，艹，真特么坑。

43: 有没有日文原版配音，这配音听着我都吐了，和游戏风格格格不入。

44: 咋加战队？

45: 垃圾游戏

46: 初始人物不能取消上阵，为什么初始人物一定要上阵

47: 好玩，但最近总是登不上去。

48: 好玩

49: 玩玩看

50: 跨服战，系统自动选结果，自己没得看和操作，有意思么？

51: 无法兑换礼品码，没法复制粘贴就算了，手动输入了也是空的，依然叫你输入兑换码！差评！！！

52: 好…

53: 为什么最初人物必须上阵

54: 怎么又进不去了

55: 今天更新后，点免战令商品就跳出来

56: 验证码输入三次都神秘失踪，你不想玩家兑换就别设兑换码啊！什么心态啊！

57: 靠！敢不敢兑换码用黏贴的啊！！！

58: 老闪退

59: 今天啥情况？直接乱码，越来越坑人！

60: 我只想说，没钱的就别考虑了，没时间的也别考虑，没耐心的也别考虑，双目没失眠的不用考虑，脑袋没被驴踢的别考虑。。。总之这游戏不是给正常人玩的，制作游戏的根本就是一头猪吗！人怎么能玩畜生的东西！

61: 我操2天进不去了

62: 为什么老是闪退？

63: 今天100%充值返利又没圣斗士星矢，没返利你叫我怎么充？

64: 不介意玩家在360平台玩圣斗士星矢，他们放弃了此游戏活动，別的平台冲值活动对折！

65: 搞什么飞机，老是进不去，还给不给人玩啊？

66: 天啊噜又开始乱码了`_>`完全进不去啊喂╰（‵□′）╯

67: 进不去

68: 听说配音很难听 我下载来试试  呵呵

69: 老是闪退

70: 又进不去了，汗

71: 靠，刚冲好500，就进不去骗钱不是这样的

72: 进不去

73: 今天咋进不去了

74: 玩了几个月，今天却进不去了

75: 什么玩意游戏，，太差了，，既然还有那么多的托！！！

76: 游戏不错，是我玩的最久的。这次更新出现了乱码...进不去了

77: 我今天升完级怎么进不了了游戏！？？？？

78: 360手机帐号进不去，华为帐号能进去，我的360号不就废了，

79: 百分之95后进不了

80: 10连抽要3 00块钱当然也抽不到啥东西养不起这游戏

81: 今天升级后，怎么进不去了。

82: 65区更新后也联不上了

83: MB120服昨天还能进，今天更新以后一直都连接服务器失败，垃圾

84: 怎么关音乐

85: 一群死 托

86: 好玩

87: 我要去

88: 好玩

89: 怎么早上能进中午又进不了

90: 116区怎么进不了

91: 世界boss几点到几点

92: 总的来说还不错！但是我在排名竞技场中的排名总是上下波动！那些讨厌的大R玩家！充钱了不起呀！

93: 好玩吗

94: 还行吧，卡片打来打去的，画面不如3d的玩起来倒是省事，反正花钱了就牛逼不花钱就靠时间吧，你玩上两年肯定比那个冲一百块厉害

95: MD，哪位朋友能告诉我，输入兑换码根本什么都领不了，什么情况？！

96: 为什么113服没有了

97: 我个人还是比较喜欢的，谁没有童年呢

98: 这游戏还是有问题的，别的服务器都能进，就你玩的服务器进不了，还自动给你跳新区，那不得重新玩了，决定删了。

99: 还可以，童年的回忆

100: 这些游戏删不删档，有人知道不？

101: 爆好玩

102: 太GoodPlay啦

103: 游戏很多，像这么好玩的却很少！！！！！！

104: 进不去

105: 现在手游胃口真大冲了钱也没啥用10块钱才100钻抽次卡都要300钻怎么算都不划算

106: 强烈要求更新礼包

107: 这游戏N久不更新啥内容，还总闪退…基本上是最抠门的手游。圣斗士内容本身就少…

108: 礼包码完全输不进，坑爹呢

109: 安装也太慢了。

110: 很好玩！

111: 客服电话就是个摆设，根本就没人接！限时抽卡，商城抽卡都抽不着圣斗士，浪费我8000多钻石

112: 请问有没有图鉴

113: 总是闪退，玩还可以

