1: 人有人的玩法，狗有狗的玩法。狗玩游戏就是让富豪遛的。不想被遛狗就不要玩

2: 希望能开通交易啊

3: 安装不了的可以把首选安装位置设定为手机，内存不要小于500兆

4: 托比太多，说实话

5: 这游戏不错，我很喜欢。

6: 我特么只想说 为什么我安装不了这逼游戏

7: 碧海青天怎么找不到了

8: 技术人员解决一下闪退的问题吧，一天总得闪退十来次，正到紧急时刻就闪退了，怎么玩

9: 都别他么在游戏里装逼好吗，玩个游戏，充点逼钱就觉得自己可牛逼了？牛逼的人谁他么玩这个，都开兰博基尼出去溜溜了

10: 喷子真多。惹你什么还骂人。穷怎么不能玩了？你来杀我吧。。。大闹天宫。女人。叫舒馨。。。看你能不能找到我来杀。又能杀几次！好没素质真臭！

11: 狗屎！进不去啊！5天了。他吗的！他这干什么吃。快修啊！

12: 老子一个区1转女魔114和一区1转女人105级昨晚垃圾系统问题害我进不去,找他们,他们叫我册了在重新下载老子册了重新下载了5次进不去,现在找他们叫我等他们三天如果三天后进不去什么讲话

13: 这个垃圾游戏系统问题害我昨晚到现上不进去,他叫我早上上去看看,上了进不出,什么意思

14: 杀星能不能改回来啊！。。。。。。强烈要求啊！这随机选人太坑了！蹲了那么久选了多少次都没选中一星！醉了啊醉了！以前多好了！只要点中就是你的！。。。。失望失望失望！

15: 我换了新区。大闹天宫。玩女人。暂时一转88。省钱省道具不舍得用。等100了洗个攻宠罗王玩玩。。。目前只养了只贫民可以接受的血宠猫。目测可以带很久。。。没有仙器忽视抗封左洗右洗都比仙器少20多%。。。不壕就算了哈！

16: 刚开的时候玩四星半。玩了差不多两个月变二星半。吓了一跳。没戏。。。交易系统不解决。。。难

17: 都是水军在喷。为什么啊！土狗有土狗的玩法。贫民有贫民的玩法。不要叫真一个游戏！那你就输了！体验游戏的乐趣参与游戏的玩法！这是手游。手游。手游。休闲玩玩吧。不必太认真。总比梦幻好。卡通单调得难以接受！

18: 为什么不能进行玩家交易。我想给我朋友装备都给不了。怎么玩啊

19: 不会玩就别怪大话不好。那是你废物。

20: 游戏挺好玩的，oppo可以流畅运行。

21: 官方  我删了又重下载怎么还进不去

22: 游戏内容什么的还不错，就他么太啃钱，还不让你混钱，没冲钱就1垃圾

