1: 能不能增加点有意思的副本或者活动，好多节日连个活动都没有，时间久了会腻的

2: 删档了吗?角色不见了！求解决

3: 我以前玩的区怎么找不到了？

4: 今天显示的开服，请问新服在哪里。进游戏后一个都找不到

5: ←_←维护能出个公告提醒一下吗，够恶心的

6: 维护到几点？

7: 维护到几点

8: 更新维护吗？进不去

9: 玩大理这职业的在天龙已经走向末路，各项技能冷却时间长，还不能形成组合攻击，而且锁定目标功能基本就是烂货，告诫大家远离大理这职业。

10: 真心希望修改大理技能，加强一点，或者降低冷却

11: 换个了手机，游戏就下载不了了，怎么回事？

12: 奶奶的 烦人的广告又来了 满屏广告 应该50级的以下小号禁止世界发言 这样或许有效果

13: 抽侠客老子要风了这游戏就是土豪的天下

14: 给的礼包数量太少了！！！！！

15: 更新了？进不去

16: 处理的好的话，512应该可以

17: 安装手机有要求吗？运行内存512可以吗？

18: 经验任务太少，开个四绝副本之类的

19: 大理，技能更改下，五行石多投放点，碎玉也多投放，

20: 我以前有个号现在不知道在哪个区找不到了怎么办啊？我去年11月初玩的。

21: 卡的要死，还让不让人玩了。

22: 安装不了

23: 刚下载完，怎么安装不了啊？

24: 大理什么时候可以修改下技能，现在太菜了...

25: 为啥我之前的游戏角色没了那

26: 能上了吗

27: 连接失败啥意思？还在维护吗？

28: 尼玛逼，咋回事啊一直进不去！！！！！

29: 进天怎么进不去

30: 今天游戏在维护吗？

31: 这是天龙八部，不是花千古，你眼瞎了？不玩滚蛋，吓评论

32: GM.186啥时合区呀.死区了.

33: 請告诉我这TM开什么玩笑啊，排行榜乱来，级别可以乱加?

34: 10月
28日早上十点开服我进去时已经有四十二级的了，现在排行榜最高级别59级，刚才想挑战居然有许多70级别的，我直接晕了，这游戏乱七八糟啊

35: 我的问题很急求解速度点啊我都一天没法玩了怎么回事

36: 我的360账号登录天龙八部后进了游戏里面全是英文什么也做不了就是今天上午刚这样进了几次了都这样怎么办

37: 问一下，明天会开新区吗？

38: 什么时候开新区，打算和几个小伙伴一起去新区充点钱玩

39: 玩了很久，大大的赞(≧▽≦)/！

40: 游戏玩玩还行，电影天龙八部我更喜欢

41: 花千骨死托儿，滚出地球去，小心哥毙了你

42: 360帐号怎么进天龙八部3D手游电脑版

43: 奶奶的 这是天龙 哪来的赵丽颖 发错了了吧

44: 新区出现打广告的了。

45: 希望能有成就系统啊，要不然真的没挑战啊！

46: 丽颖丽颖！我爱你！我就是冲丽颖来的！

47: boss好大，技能有点炫好炫

48: 游戏好好玩，登陆游戏还看到了赵丽颖，不错啊

49: 我与你同在，大爱花千骨

50: 对话界面都是赵丽颖说的么？声音不错

51: 希望这是一个需要配合才能玩的游戏，一个人玩着没意思，厂商特效做的挺好，希望能出点多人玩法

52: 人物形象不错，代入感蛮强的，赞赞赞

53: 首测时就看到画面很清晰，场面也很漂亮，3D画面加合理化的动作，感觉还算是比较真实的。公测快开始吧。

54: 白子画会不会也做成职业啊，尊尚这么牛逼，厂家考虑一下啊

55: 有没有牛B点的公会给我加下啊。

56: 这游戏是我见过最好玩，最给力的游戏了，不用充值也可以有好宠物好装备，这种的没谁了，真的。

57: 五分期待中，画面感是我醉爱，门派系统很强大，一直支持！

58: 还可以 能搬砖的游戏。

59: 游戏很好，就是希望少点刷屏了，我跟我朋友都很喜欢！

60: 升级装备用的金币和材料记得多攒点，三星的升级价值不大可以都丢去异朽阁，游戏玩着玩着全四星看着不难

61: 画面Q萌，打击感爆棚，打的很爽，现在马上出新内容了，相信世界BOSS挑战，成亲什么的也快了！

62: 首测时就看到画面很清晰，场面也很漂亮，3D画面加合理化的动作，感觉还算是比较真实的。公测快开始吧。

63: 能不能开个交易系统，让更多物品可以流通

64: 视觉效果做的很好，画面质感看上去就很精致，然后玩起来也不卡，不错的说

65: 花千骨这游戏的棒是不用语言表达的，不管画质还是给人带来的感觉，而且还能在游戏中遇到喜欢的剧情角色。

66: 赵丽颖新手引导好赞！

67: 有时间的时候手动提高效率，没时间的时候也可以挂机自动打，真不错

68: 画面精美，犹如身临其境

69: 人物和画面美哭了好吗？

70: 这游戏简直酷炫，停不下来了！

71: 游戏好好玩，登陆游戏还看到了赵丽颖，不错啊

72: 自从接触到这个游戏，我才发现，这个世界上居然有这么好玩的游戏！

73: 哈哈，我家丽颖作为游戏引导员教大家一起来玩花千骨！

74: 最早接触花千骨是通过果果的小说，没想到现在又是做游戏，又是拍电视剧，我好开心！

75: 首测时就看到画面很清晰，场面也很漂亮，3D画面加合理化的动作，感觉还算是比较真实的。公测快开始吧。

76: 公会之间可以打架吗？一个人玩多无聊，要有打斗才行啊

77: 画面酷炫，玩法多样，不知道公测了会不会变得能好玩了！

78: 花千骨这个游戏的确是属于精品行列的，操作很舒服，也不费钱，带给我很多快乐，五星好评。

79: 副本还不错……游戏商是要教导我们不要乱丢东西么QAQ金币都得自己捡，来个自动拾取好不好嘛

80: boss好大，技能有点炫好炫

81: 每天赠送的资源还是很多的，小V或者不花钱的朋友也可以玩的很开心！就是喜欢这样的良心游戏啊！

82: 这游戏会不会照着剧情来做啊

83: 玩了内侧的表示，此游戏不坑，充钱更好玩!

84: 这游戏会不会照着剧情来做啊

85: 好喜欢糖宝，美术大人真是牛，硬把一条虫子变成了美女

86: 画面Q萌，打击感爆棚，打的很爽，现在马上出新内容了，相信世界BOSS挑战，成亲什么的也快了！

87: 五分期待中，画面感是我醉爱，门派系统很强大，一直支持！

88: 游戏好好玩，登陆游戏还看到了赵丽颖，不错啊

89: 人物和画面美哭了好吗？

90: 非常喜欢这种类型的游戏啊！仙侠类动作游戏我的最爱！支持！

91: 技能看起来很酷炫啊！不知道有没有跨服战！

92: 好费力的去拣金币，是说让我们知道钱来之不易吗？

93: 人物萌萌哒，不知道原剧情中的那些关键角色是否能成为我们控制的角色呢？好期待啊！

94: 有没有多人乱战啊，人多打起来才爽啊

95: 好赞！今天确实体验了一把畅快，升级最快就是我哈哈。

96: 游戏不错哦，喜欢；

97: 我与你同在，大爱花千骨

98: 画面超赞 剧情跟小说一样 支持颖宝~

99: 还是用剑比较爽快！

100: 副本挺好的，喜欢第二只boss炎魔怪；长得想剑灵的炎黄，哈哈

101: 花千骨这个游戏的确是属于精品行列的，操作很舒服，也不费钱，带给我很多快乐，五星好评。

102: 人物形象不错，代入感蛮强的，赞赞赞

103: 送的东西挺多啊，玩起来手感不错

104: 比较喜欢上古遗神花千骨，武器好炫

105: 画面精细，人物生动又Q萌！看一眼就爱不释手啦~

106: 服务器爆满！

107: 跟内侧比起来不卡了，还多出了很多新内容，希望多多出一些有挑战的玩法，多出些地图，好游戏要鼓励！

108: 五分期待中，画面感是我醉爱，门派系统很强大，一直支持！

109: 好游戏，就是材料缺，希望副本多产出一点精铁啊

110: 刚出的时候一看画风很Q很喜欢，就迫不及待的想要玩了，现在中午玩上了，真的好开心。

111: 我怎麼蒙圈了呢？這是花千骨還是天龍啊？

112: 游戏打斗画面好炫，会继续支持的；

113: 这游戏是我见过最好玩，最给力的游戏了，不用充值也可以有好宠物好装备，这种的没谁了，真的。

114: 操作简单，画面感觉很舒服，是难得的好游戏！期待以后有更多新内容！

115: 比较喜欢上古遗神花千骨，武器好炫

116: 白子画会不会也做成职业啊，尊尚这么牛逼，厂家考虑一下啊

117: 熟悉的剧情，熟悉的味道，还原上没得说，作为花千骨铁粉，确实再次感受到了游戏的真诚

118: 期待啊，不知道这游戏以后会不会推出多人团战啊

119: 小骨能与师傅永远在一起

120: 人物和画面美哭了好吗？

121: 我是妹子，我希望多出点时装

122: boss好大，技能有点炫好炫

123: 赞，这个游戏看着简单，其实玩起来也是挺好的。就是缺金币啊

124: 我与你同在，大爱花千骨

125: 好赞！今天确实体验了一把畅快，升级最快就是我哈哈。

126: 小骨好嫩！开场动画点个赞

127: 画面精细，人物生动又Q萌！看一眼就爱不释手啦~

128: 游戏不错哦，喜欢；

129: 游戏打斗画面好炫，会继续支持的；

