1: 我发现这游戏有漏洞，可以刷车和钻石还有币，我都刷了不少，车全刷完了。

2: 好玩。！，！！！好啊好啊好啊，狠狠狠狠狠额。好哇，好哇，好哇，好哇，好哇，好哇，好哇，好哇，好哇，好哇，好哇。

3: 绿色芯片是什么

4: 好玩

5: 不错

6: 我的黑屏上不去

7: 2DBNVC

8: 就如同我的名字一样，让人喜欢的不行！

9: 现在点开就黑屏直接退了……

10: 老好完了

11: 老闪退

12: 昨天还好好的，今天一进就黑屏，这都半年第二次了，我亿准星和钻石啊！！！谁知道怎么解决？

13: 前期玩还不错，可慢慢就要钱，不买车后面都跑不了

14: 草尼玛的，太卡了

15: 绿流淌不很好

16: 有360安全卫士或者乐安全来拦截这个游戏发短信，是不是买东西就不用花钱了？求助各位大神！！！

17: 我，我看这个，名字还算不错。但是我没玩不过我觉得应该很好吧！就给个中评吧！

18: 发vv兄弟洗车店铺盖被子了

19: (⊙o⊙)一般一般完美过关

20: 去吧，还没玩就要花钱，花了钱还尼玛跟垃圾一样

21: 对抗赛，只要碰到一级的柯尼塞格和一级的领航员（胜负都是0那种）。我是必输。

22: 这个游戏棒棒哒

23: 很好好好好好好好好好好好好好好好好好好好好好好好好

24: 玩这个要付费吗

25: 不错

26: 想不充钱玩的好的，领好福利，黄金箱子与秋名山互抽，一定会有车子的！秋名山时看好车子出的位子，固定抽

27: 好玩吗，卡吗

28: 我想问一下，我打算换电话卡，换了的话，游戏里面的赛车装备还在么。？会不会消失？

29: 游戏不是我的菜勉强给3星吧。。还有这游戏充值有漏洞点俩下赞就看到说明。。没看到的留言以及联系方式 我告诉你

30: 很好

31: 哈哈哈哈大笑

32: 里程度了新的话

33: 够垃圾的。老子玩这么多游戏，唯独对这款够无语的，

34: 不错呀，

35: 好玩

36: 太棒了!！！

37: 游戏很不错，要有账号能真人对战就完美了

38: 挺好的，最近一直在玩款免费的焚天战机，特别好玩!!!!

39: 好难玩儿

40: 游戏超好玩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！

41: 非常好玩,车很酷

42: 卧槽，什么意思，对战模式，老子科尼塞克满级，居然还跑不过一个只有一级的科尼塞克而且还没有领航员。这尼玛做的真好，

43: 还可以

44: 游戏是好游戏，可惜玩家之间的交流太少，要做成可以大家一起玩的，有账号，可以加好友交流就有前途了。

45: 很好玩，不过我想问的是极速版的好还是这个版好？

46: 决战首尔难度逆天。满级漂移+十三狼+全程道具。硬是追不上跑男团。你这是要哪样啊。

47: 非常好玩,车很酷

48: 开一把赛车，结果口号：奔跑吧兄弟，从开始喊道尾，我也是醉了，打广告也不需如此吧

49: 相当给力，大家快来一起玩……
3

50: 不错，但我还以为是真人版的呢！假。

51: 节目好看，游戏好玩，99,9999%的好，超赞

52: 这个游戏非常好，画面非常酷炫。

53: 挺好的

54: 奔跑兄弟让我们都喜欢都爱看这个节目

55: 我很喜欢这个烦恼有高兴的一面烦节目能让人们都没有烦恼有高兴的一面很好

56: 相当给力，大家快来一起玩……

57: 很酷!

58: 不错,很好玩。。

59: 还行，如果给几辆车就好了

60: 黄金宝箱碉堡了

61: 没网可以玩吗

62: 更新后对战积分减一半，别更新

63: 好玩，些车都可以变身

64: 体验快乐，我的名字就是宅男都喜欢的！2

65: 超级好玩，说不好玩的人都死

66: 以前冲了70左右，第二天全没了。大家别下，这游戏就骗子一个。给个一星还算是客气，零星才好。

67: 麻痹的  你们他妈到底怎么弄的  我所有的车跟宝石都没了  只剩个对战记录还是很久前的  你们他妈到底行不行  妈的  白他妈花了老子的钱  靠

68: 教大家怎么战胜幻影车手：准备追踪飞弹，量子幻影数个，有和可以花钻石的就只准备1个跑男狂飙。在比赛中先使用1个跑男狂飙，用完使用量子幻影，直到可以看见幻影车手，然而还是要躲避飞弹；看到后点击发射飞弹，离它很近的时候使用钻石买跑男狂飙使用或使用量子幻影超过去，中途最好不撞车：也可以开到幻影车手后面使用量子幻影并利用对手的飞弹击中它。如果幻影车手撞车的话最好使用跑男或量子超过它，这完全靠运气实力，加油！

69: 为毛更新完之后我的数据都没了  谁来给个说法

70: 黄金车神钥匙领了，怎么没有？

71: 签到领不了

72: 更新之后对战积分减2倍

73: 配置不行的手机别在哪BB了

74: 老是闪退，烦！！

75: 加载完了会闪退，这游戏破死了，强烈建议别下！

76: 领航员推荐十三狼

77: 要网吗

78: 如果你的技术够好，有足够的金币钻石，战胜零之恶魔也比较容易。为大家推荐能够战胜零之恶魔的改装满级的9辆车：变形大黄蜂，蓝天使，老黄，准星，红色传奇，剧毒斗牛，勒芒之王，漂移和科尼塞格。其中比赛需要用钻石买道具的是前6辆，用金币买道具的是后3辆。这些车我都试过，可以通过零之恶魔所有关卡。本人极为推荐全满级的勒芒之王，漂移和科尼塞格!望采纳!

79: 楼下的那些喷子。。。。。你能再无脑一些么。牛头不对马嘴的，分明就是没玩过就在这乱喷，或是别人聘请来的喷子

80: 爽爆了！

81: 好玩，主要是竞速道具啦。金比有好多。好开心。破的就是好。找乐猪手好棒的

82: 特别好玩儿。
3

83: 推送烦死人，多人根本不是竞速是竞道具，菜鸟有钱都就能用导弹把大神虐死，迈凯轮跑不过甲壳虫，果断差评

84: 操你妈蛋，好玩个吊，一直闪退，刚进就退，千万别下，坑爹的！

85: 好玩到爆耶

86: 我认为还可以啊

87: 可以，不过礼卷怎么收集啊

88: 喜欢刺激的看我名字

89: 【这个游戏好玩吗】

90: 我都签到那末多天了，从昨天开始一直玩不成，连游戏也启动不了，总是闪退

91: 太坑人了

92: 好坑人啊，，骗钱的

93: 妈的，总是闪退。希望能改变。。。。。。。。

94: 卧槽，这游戏真心不想说了
真渣

95: 太差，进去一次闪退一次，都不要下载

96: 花钱买车，竟然不给车，这游戏好、好、真是好呀。老子连1/10000000的星都不想给！！！

97: 什么破游戏，对战完了上传不了成绩，坑爹呀去死吧

98: 妈逼，坑爹游戏

99: 还行 这两天怎么买不了车呢？

100: 好玩

101: 坑，真的坑爹，明明有论坛，一点，您的轮胎好像不够哦。哦凑，我还没用就莫名少了，游戏去死吧！

102: 我觉的还可以的。

103: 没安这游戏的人千万不要安了老是闪退,差评

104: 差评

105: 我觉得挺好玩的呀，上次我还中了个话费卡呢！

106: 今天游戏打不开，是不是在更新

107: 什么破东西、

108: 好刺激，喜欢更刺激的看我名字

109: 游戏还行，不过大家不要花钱买车，我的花了15块钱还没有玩到一天，游戏就被清零了，车子宝石金币都没有人，电话问了就说找客服，网站上都找不到就像踢皮球一样，实在是在忽悠玩家呀，我会每天发一条这样的帖子看他们会不会给我处理这事……实在没办法了……

110: 充值不行，请小心

111: 差，无聊透顶

112: 很差，非常差，扣了10元话费，千万别下！

113: 您的赞美就是给作者最大的回报，觉得好就表扬TA一下吧。是免费的吗

114: 非常好玩

115: 

116: 孩子玩，不小心就被扣费了，尼玛混蛋

117: 有点卡，玩久了就有点无聊，哎

118: 很好玩儿

119: 奔跑吧兄弟

120: 还行，但老闪退

121: 不错，挺好玩的。

122: 充值免费，还可以

123: 不能打开。

124: 超级棒！

125: 太好玩了！

126: 垃圾

127: 还可以吧！

128: 还可以吧

129: 还行吧

130: 我靠
卡到颠

131: 怎么PVP还不能玩？我都玩了好几个月了，就刚开始可以对战，后来就一直提示维护？维护几个月还没完？

132: 进不去

133: 进不去

134: 老是打不开。

135: 挺好的只要有360帐号就可以有礼包

136: 怎么进不去

137: 还行，挺好的。

