1: 酷毙了

2: 还可以

3: 还没玩，不知道好不好

4: 为什么我的玩不了。

5: ..........

6: 奔跑吧！兄弟！

7: 才刚下，看看能不能玩~

8: 大赞

9: 一进去就黑屏，玩不了。

10: 也不错

11: 我刚刚下载还没有呢

12: 还好，不知道是不是手机的原因老是闪退

13: 卡不进去

14: 刚玩了几把还不错，就是刚玩还有些不太会，比如那个牛是怎么回事？？    也有道具是要钱的，不过其它跑酷类的游戏也都要钱呀

15: 少时诵诗书，老是票活力

16: 为什么我打不开

17: 非常好玩，五颗星思密达哦！！！希望最好以后在更新的时候能有嘉宾，金钟国，张艺兴，蒋劲夫之类的嘉宾，不过已经很好玩了，不用网络也可以玩，希望以后超哥和郑凯还有杨颖的名牌能不能不那么难才能拿到，时不时的奖励几张名牌啊，因为郑凯，超哥我很想解锁，名牌就是不够，希望继续加油哦！！！！棒棒哒哦！！！？？

18: 太好玩了！！！！！

19: 好好玩

20: 好，不过怎么没有祖蓝和小包子(包贝尔)?

21: 这个劳资早就通关了

22: 打。。。。。。

23: 垃圾老卡，别下

24: 好玩。

25: 姑父笔记

26: 要网吗？
？？？

27: 没有网的时候可以玩不
3

28: 好玩

29: 好玩

30: 没有本地图标，只显示机器人。

31: 哟，还挺好的吧！哈哈哈

32: 好，太好玩了！

33: 好玩

34: 很棒。

35: 可以

36: 没有网的时候可以玩不

37: 5❤请教怎么保存

38: 还不错

39: 简直太好玩了

40: 垃圾垃圾垃圾

41: 非常好，100个赞。

42: 好棒

43: good!

44: 什么啊怎么现在无线模式玩不了什么都玩不了

45: 还可以，就是道具便宜点就好了

46: 双击就可以取消赞哦   试一下吧

47: 垃圾  咔咔咔

48: 实在是太太好玩了。是我玩过最好玩的游戏。大爱奔跑吧兄弟的所有成员。『：baby，邓超人，陈赤赤，小蓝蓝，光头强，少林寺，王宝强最后当然还有我们超级厉害的——大黑牛/牛妈妈』嘻嘻

49: 超好玩

50: 好玩好玩

51: 太卡了

52: 还行呀！就是有点卡。

53: 真是太好玩儿了！超超超超赞！

54: 加载太慢   

了

55: 不好玩

56: 好好玩呀！

57: 太好玩了999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999个赞

