1: 哈哈  一直用找乐在领礼包玩

2: 卡死在邓超、BABY跑的界面！动不了！无提示！

3: 为什么我玩不了？海尔手机。

4: 总卡死在第一界面。

5: 好好玩

6: 挺好玩，可以登陆，还可以单机玩

7: 太好玩了

8: 还是用找乐好玩些 领的礼包好值钱呀

9: 我晕，这是什么鬼，一颗星都不想给

10: 简直一颗星都不想给，一进就退闪。。。

11: 很好

12: 太差了，不能忍，总是闪退，这还怎么玩嘛，而且和天天酷跑差不多，我去下天天酷跑也不下这破玩意。

13: 怎么更新啊?

14: 账号登录要闪退，闪退的真厉害，差评！！！！！

15: 要网吗

16: 一点也不好玩，到了撕名牌就退闪

17: 咋更新

18: 用找乐玩有礼包

19: 哈哈不错 用找乐玩有道具呢

20: 以前感觉挺好的，但每天的任务只能一个一个的完成，今天提示更新，但没有更新键，郁闷了。

21: 怎么更新连个页面都没有！

22: 太不好玩了！

23: 很好，赞一个

24: 游戏第一，卡机第一！

25: 不错的游戏

26: 很好！但我觉得还可以更好。

27: 闪退的可真完美呀！

28: 不解释

29: 差评，还说你网不好。

30: 玩不了，连登录页面都没有，差评在所难免！！！！！

31: 进不去，差评！！！

32: 还没玩，不知道好不好玩。相信好玩

33: 垃圾。卡的要死。都不想给星

34: 好好玩呀  用找乐领礼包真心棒

35: 可以

36: 大家有爱来我这里玩

37: 好玩

38: 好好太好了

39: 闪退真的不是一般般啊

40: 以后可以开通金币抽宝箱或宠物吗？很期待。

41: 不会重新玩啊，我更新之后还是以前的级别啊。

42: 搞毛啊，更新完了，重新玩啊，八十多级变成从一级再重来，不玩了，你奶奶的

43: 什么情况！？wifi玩不了，必须要用流量，搞什么啊

44: 唱歌吃饭

45: 这两天突然进不去了，已经是最新的了，我也是醉了，不好玩

46: 闪退

47: 你们已经坑到地球了

48: 太烂了，鄙视

49: 不好

50: 好玩

51: 太太太太太太太太太太太太太太太太太太太太太太太太太太太太卡了太太太太太太太太烂了

52: 活动中有个每日任务奖励，只要完成当日任务就可以领取奖励，但是为什么永远只能领取奖励一？这个不应该是累计的吗？第一天领取一，第二天领取二，以此类推吗？为什么第二天领取的还是一？每日任务每天只能完成一次吧？不然的话，活动中后面的奖励都没办法领啊。希望活动方能给个解释。谢谢！

53: 还凑合？来提点意见或者建议吧~呵

54: 为什么服务器维护

55: 虽然有点卡，但还是五星

56: 太毀灭杨颖的形象了

57: 不好玩

58: 烂游戏

59: 这人物也太丑了

60: 挺好玩，但是人物太难解锁了

61: 游戏简直太毁跑男形象了。

62: 总是闪退不是手机的问题什么狗屁游戏这么卡。

63: 能把游戏做的这么卡我真的很佩服你们

64: 模仿天天酷跑！垃圾游戏，虽然是跑男迷，但也不能这么毁跑男吧！

65: 你个垃圾，妈的，谁TM单局能跑180000米，不想给装备就直说做你妹的活动

66: 总是闪退，重新下载还是一个样

67: 太好玩了

68: 很好，我推荐一个改进方向，如果以后有隐藏VIP图标的功能就好了

69: 总是闪退！！！给他一颗星就算好的了。

70: 看我名字，大家都是喜欢的

71: 不错 用找乐启有礼包呢

72: 垃游一个，虽然我是跑男的粉丝，但这样的游戏太xx，还未开始就一结束就是这款游戏连登录页面都没见到就闪退了，下载两次了，麻痹的，要不是看在是跑男的面子上，骂的再狠点

73: 不错

74: 好玩

75: 我操你妈个烂游戏，不给差评都对不起开发商，人物丑陋，超哥有那么丑吗？小贤又是个什么东西，陈赫有这么丑吗，宝宝更不用说了。还有，每次复活的时候，前面就是一个坑（2连跳才行）我TM的跳的过去吗，又坑钻石，有网的时候，又说断网，还好可以操作，我就点后面的页面（竞技模式）再点开始，进去了！！你TM的在逗我嗦！

