1: 不错！不错！

2: 我安装失败求解释

3: 挺好玩的

4: 这个真不咋地，游戏中说弹跳无限其实不是，弹跳无限是需要升级人物到最高级才会有。升级人物需要什么呢？需要人民币。还有这个玩起来没有神庙和地铁跑酷爽。打2星我都嫌多。

5: 傻吊才玩，难玩死了。

6: 爽翻了10000000000000和赞

7: 电影我看过，游戏虽然没有玩过，但我觉得这个游戏还是不错的

8: 好玩屎了，擦

9: 激情四射

10: 不错，很好的游戏。

11: 正在安装中

12: 哎
垃圾游戏

13: 用流量吗？

14: 正在安装

15: 第一个闪退的游戏，怎么回事？

16: 好玩，电影我看过，很好

17: 好好玩！！！

18: 看过电影了，还好

19: 正在下载

20: 一巴巴不是给力

21: 怎么进不去了！

22: 游戏还可以

23: 一般

24: 垃圾   慢的黑   还有好多广告弹出

25: 第一次进去   慢死了

26: 厉害啊

27: 嗯，好。

28: 好玩

29: 召唤小狗果汁是什么啊

30: 尼玛打不开！完美闪退！这是我平生玩过第一个闪退的游戏！

31: 不错

32: 挺好     只不过买角色只能充值
土豪没问题     平民百姓只能看着流口水       什么时候便宜点     玩的人可能会更多     商家赚钱也多

33: 感觉还不错，电影我看过，很搞笑，这软件感觉有意思，下下来看看。

34: 简单至极，垃圾，白瞎了提黄渤的名！

35: 垃圾

36: 太赞了！没这么好玩儿的游戏

37: 好玩！！！！

38: 不错哦

39: 好！！！！！！

40: 没啥意思，得花钱买人物

41: 游戏真的不一样，真心不错

42: 游戏不错，

43: 朋友们都喜欢一款跑酷自行车2下载吧

44: 游戏卡跟手机和平板配置有关系，挺有意思的游戏，收费的可以拒绝别点击购买就成

45: 游戏真心卡啊，不知道有没有跟我一样的？？？要很多游戏从来没出现过这种情况，无语啊。。。。。

46: 太好玩了!

47: 我操，完美闪退

48: 请问要网吗

49: 真垃圾！效果画面不好！还很卡！

50: 好玩好玩好玩

51: 卡，台卡哎

52: 好玩

53: 完美闪退，感觉好像是下这个游戏踩到屎了！不信你就试试！

54: 完美闪退

55: 好玩。给力

56: 不错啊…画面挺生动的…哈哈

57: 很好玩

58: 好难玩呀！大家千万不要下。

59: 真心不错

60: 好玩，太好玩了

61: 兑换码 怎么弄？

62: 不错！有个新游戏【飞弹大战僵尸】也很好玩！

63: 能用马苏吗？

64: 很好，就是怎么召唤小狗果汁儿？？

65: 好耍   力荐

66: 超好玩。。

67: 力荐!

68: 很好玩的，神赞

69: 真的真的真的真的真的真的很不错，跟电影一样好玩

70: 丰富好玩！等中奖！

71: 超赞

72: 喜欢这部电影。游戏应该也不错吧

73: 我来说两句

74: 不错哦

75: 垃圾  不好玩  不小心被扣话费  尼玛！

76: 很好玩

77: 超级好玩，推荐呀，好玩有木有！

78: 坏猴I币太难挣，求教

79: 很好玩!

80: 坑爹游戏，自动买道具，花了20元。千万别下

81: 不错

82: 很好玩，搜索一款跑酷自行车2吧，好炫酷，免费又好玩！

83: 坑比游戏

84: 好是好玩，就是第三天就点不进去了是什么情况

85: 不错的游戏

86: 垃圾游戏，上来就要钱

87: 不错

88: 不错，还有款跑酷自行车2很好玩

89: 还不错

90: 给俺奖品啊。。

91: 我的一直闪退！！！！我下载安装 安装卸载 又下载 一直闪退！

92: 不错不错^_^

93: 我要顶一个

94: 不错，真好玩，赞一个

95: 好好好玩

96: 老公天天玩这个

97: 很棒啊，就你们乱喷

98: 好啊，速度与激情，电影好看，游戏好玩，大力推荐

99: 这么好的游戏怎么没人顶

100: 屌丝逆袭了

101: 制作团队很强大，场景恢弘

102: 吊炸天了

103: 剌激，搜索款跑酷自行车2玩玩吧

104: 还不错呢 可以下载玩玩 记住我的名字叫金涛！

105: 还行吧

106: 很高兴，o(≧v≦)oo(≧v≦)oo(≧v≦)o

107: 垃圾，闪退垃圾

108: 好刺激耶！

109: 很期待这款游戏的表现

110: 屌丝逆袭了

111: 很好哦

112: 元芳你怎么看

113: 希望越来越好吧

114: 游戏挺简单的

115: 好好玩

116: 好东东

117: 赞个吧，精品游戏

118: 很好哦

119: 还成吧

120: 音乐好好听

121: 好评

122: 不好玩

123: 呵呵，有意思

124: 什么烂东西！卸载都卸不了！

125: 这游戏太卡

126: 游戏很不错，快来玩吧，。

127: 还没完不知道

128: 很好狠强大

129: 跑的好慢

130: 垃圾

131: 还不错。

132: 跑酷自行车2很有潜力
