1: 太筒單了，一下子就過去了。人物還這麽醜。

2: 好玩，就是老是闪退。

3: 要流量吗

4: 好玩

5: 好，太好玩了

6: 好玩

7: 太好玩了！

8: 好好玩。别忘了我的名字美那，和我做朋友哦！

9: 很棒

10: 好玩，太好玩了。

11: 好玩

12: 好玩太好玩了

13: 听说点赞可以取消

14: 差评
加载不出来
还说给英雄做按摩

15: 请问
 
要网络吗

16: 好玩

17: 太差

18: 很好玩。

19: 还不错

20: 好顸

21: 很好玩就是总闪退

22: 啥意思，刚开始玩，每次玩到秀琴那儿，就自动退出

23: 总是闪退！

24: 好，很好，非常好

25: 好玩

26: 老是闪退

27: 五星

28: 好玩，但喜欢闪退，不过还是5星

29: 好玩

30: 什么玩意儿

31: 闪退，不好玩

32: 非常好玩,大家也来式一下

33: 

34: 太好玩了，这是一款闪退完美的游戏，太烂了。我苹果手机都闪退。

35: 闪退

36: 这游戏太烂了

37: 有人玩这游戏都死机了

38: 垃圾游戏啊

39: 好棒！！

40: 每次都是72

41: 每次都是给英雄按摩和62

42: 建议大家都来下载玩一玩。

43: 好好玩

44: 总是62%！！！！！！！！以前都可以玩的

45: 根本进不去，还没开始玩呢就闪退了，不满意

46: 非常好玩 建议下载

47: 非常好玩.记得投票哦.谢谢

48: 不错

49: 为什今天连接不上

50: 谁玩谁傻、昨天好好的、傻逼客服、就骗钱、草你妈的

51: 我用的是无线 为什么还网络超时？？

52: 完美闪退

53: 安都安不起我手机还有6个G麻痹

54: 总是闪退，iPhone6内存32G，别跟我说手机不好

55: 太好玩了！不要犹豫快点下

56: 还没玩就闪退

57: 明明都玩到第三章了！还没过了一天就变成了第一章？

58: 不要下载

59: 啊，心情被这个游戏每次都弄的不好啦，明明在打架，打赢了他居然闪退，又说我没打，啊，我真是

60: WLAN明明满格，网络连接超时我也是醉了。

61: 老是闪退，

62: 旋风少女要出2了

63: 为什么要网络才能玩

64: 总是闪退   垃圾

65: 总是闪退！

66: 居然闪退，艹

67: 无聊无聊无聊

68: 怎么总是一闪一闪的?只不过还是挺好玩的。

69: 为什么为什么老闪退

70: 一边玩旋风少女手游，一边看着旋风少女电视剧，简直就是享受中的贵族！（＾O＾）

71: 最后一点竟然闪退！瞬间心情不好了，卸了！

72: 怎么总是闪退Q_Q

73: 很好玩

74: ＾～＾

75: 积分榜首都是他在于

76: 相遇患得患失

77: 太好玩啦 五星五星 可就是老闪退 打着比赛一下就退啦 进去重打 但是还是给赞 力挺

78: 这游戏超好玩，卧槽就是它闪个麻痹呀

79: 太好玩了

80: 总是闪退，烦死了。但很好玩，哈哈哈哈

81: 这个游戏怎么登陆不了啊！？

82: 这是什么情况啊！老是闪退。

83: 好玩到爆。

84: 这闪退有点严重阿啊

85: 好玩也不闪退

86: 为什么会闪退

87: 大爱旋风少女,但游戏进不去啊,这是怎么回事?

88: ,很好玩

89: 好玩死了

90: 老是闪退

91: 好玩

92: 很好

93: 不闪退就行

94: 完全没闪退现象，极好哒

95: 老是闪退！！！求官方解决！！！

96: 靠，总是闪退，玩一次没有超过10分钟，请官方解决这个问题

97: 老是闪退，但不过大爱旋风少女

98: 什么都好，就是不闪退就更好

99: 非常好玩好玩的我都要死掉我用我喜欢里面的喻初原，我弟弟喜欢若白。

100: 好玩是好玩！ 老闪退，烦死了！

101: 好玩

102: 好玩死掉了

103: 老是闪退

104: 时时闪退，玩不到1小时就闪

105: 经常闪退

106: 我还没玩，不知道好不好玩

107: 这 个游戏真的是太好玩了，，，，，，一道加载的时候就闪太有新意了，，好不容易进去了打玩第一关，又闪，每次打道一半又闪，，这个闪是不是你们游戏公司专门设计的，，，我本来是不想给5星的后来我想一想如果不给5星评论就上不去就给了5星，，如果以上问题你遇到了话就给个赞吧！

108: 不错啊！我目前玩从来没闪退！

109: 彝蒹与企砹企延壯华宁

110: 老闪退，每次快要玩完的时候就闪迟。

111: 需要联网吗

112: 为什么招
慕不了

113: 玩了一会儿就闪退。

114: 跟rpg差不多一样吧。。。。。。

115: 无论这个游戏好玩不好玩我都觉得，好玩。

116: 为什么加载完了以后   闪退？。。

117: 好玩倒是好玩，但是老是闪退闪退闪退

118: 总闪退，根本不知道好玩不。 。。。

119: 为什么总退出？

120: 你手机配置低就换一架吧别瞎比比了

121: 好玩建议下

122: 老是会闪退的

123: 很喜欢这游戏

124: 好

125: 很好玩的游戏

126: 为什么，老是黑屏，一会就莫名其妙的回到主屏幕了!

127: 好玩，可能是手机的问题，有一点点卡，但好玩。最爱百草！推荐下载

128: 好玩!!!

129: 烂，太烂了！打都打不开！恶心！烂，别下了，哼！我yao评0分！

130: 超级超级好玩！大家一定要下载旋风少女哦！

131: 大家千万不要下，不能玩.

132: 真的好好玩，大家可以玩的

133: 一点
一个不好玩

134: 为什么我找不到之前的服务器了

135: 这什么啊，下载就下载两次，打开后加载到100就闪退。。。好几次了。。。虽然我非常喜欢旋风少女 但这游戏。。。老是闪退。。。！！

136: 好玩

137: 想知道杨洋玩这个游戏么  还可以  给五星

138: 想知道杨洋玩这个游戏么？

139: 真好玩

140: 看你们玩感觉还不错，但是我玩时为什么老是闪退，诶。

141: 闪退，玩不了

142: 真好玩儿！！！！！

143: 没网能玩吗

144: 好玩就是会经常卡死

145: 超好玩，五星

146: 超爱旋风少女，5星，很好玩

147: 太好玩了

148: 很好。。。。

149: 好玩

150: 太棒了i爽

151: 不错

152: 倒是可以打发时间，       站的数据还少！
