1: 卧槽看着评论我都不敢玩了。

2: 垃圾下载了更新不了

3: 玩法比較弱智，網服有過多限制，理論上已是最強等級下打一般垃圾也會被秒。更新改不了主體的無能。只是消耗時間而已。

4: 为什么我的服务器获取失败

5: 然而并没有什么卵用

6: 为什么我一直在登账号？

7: 请问这个游戏的开发公司什么时候倒闭啊？一个游戏做成这样，服务器垃圾的要死，老是卡死机，没钱你们做什么游戏啊，欺骗这么多火影迷，像你们这样的还不如上吊死了算了，留在世上只会害人，你们这么没良心你爸妈知道吗？还有那些托，我要是你父母一定在生你们出来的时候一屁股坐死你，免得留在世上害人！

8: 我只能说玩过忍者百分百的人，就知道这游戏多垃圾，虽然百分百倒闭没版权，你们游戏做的没忍者百分百好，东西跟他一样，战斗效果差，配音根本没有，就是有也是个垃圾，你连个盗版都不如，还有脸出来挣钱，多做点功夫吧，

9: 草快黄了吧

10: 好好玩给90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000星

11: 客服何在，为什么我一直在登陆账号？？

12: bug不少，比如每日任务反复重置，操作也有很多纯粹浪费时间的，比如试炼，卡牌太简略，还挡住角色血条，除了火影得背景，其他乏善可陈

13: 首充8888忍币怎么没有到？

14: 更新就玩不了  说登录数据问题 客服何在

15: 我38区进不去了说什么数据错误我刚冲了200块

16: 我得38区游戏进不去，别的区我能进去。38区显示我得登陆数据异常，请联系客服。我冲了那么多钱不让玩了吗？

17: 今天游戏怎么进不去了？

18: 不充钱，你就是个，渣渣，到70级，副本一关都打不过，趣味性低，单一，无脑游戏，浪费时间，而且不冲钱，根本玩不下去，

19: 游戏不怎的，有钱就行，充到v10绝对第一。

20: 才36级银币不够用了。。。不过很好玩

21: 几点开服？

22: 超喜欢超棒 就是夺宝有时候我居然可以看到抢我自己的 《汗颜》望继续优化。。

23: 非常好玩，大家都要下载哦o>_<o

24: 我的名字大家都爱来玩

25: 我还没下载呢

26: 游戏进不去了，登陆360账号后不显示游戏账号，只显示分区，点击进入游戏，重复登陆360账号，上午还是好好的

27: 火之国为什么没有了，而是雷之国

28: 还有组合太单一，你上来就弄鸣人佐助当主角弄羁绊，就那么两个组合最好，其他的人物卡基本没人用了，都奔着那几个人物去了。

29: 试炼太垃圾，打到100多关，竟然天天要手动，你们不嫌累，我们玩家嫌累。然后奖励还只给1次。

30: 试炼能不能优化一下，之前打过的关也要一关关打，能跳过也心累，

31: 进不了

32: 4天开一区

33: 什么时候开新区

34: 玩不了

35: 能玩玩的时候说一下

36: 技能太少了，没有人物特点

37: 什马游戏,咋老闪退？求解决…

38: 自从更新以后进不去，有好久了

39: 差评差评！没有鼬！！

40: 能玩的时候   说一下   谢谢

41: 试炼太费劲了，人物少，羁绊也少，还有人物的技能合理性不太理解，希望能改进呀

42: 能玩的时候   亲们通知一下啊   谢谢

43: 首冲忍币不是得8888忍币么怎么没给我

44: 火影怎么发信息

45: 更新玩不了。。老啥文件错误211

46: 进不去啊，求解释。更新过了。

47: 尼玛，老子更新带下载三次，还是进不去，艹坑爹

48: 不错，很好玩儿

49: 为什么蓝卡不重视，不能觉醒，没有羁绊……只重视紫卡的游戏，不完整的游戏就不是好游戏。

50: 更新后为毛打精英怪一直卡住，后来一直闪退！！！希望官方给予修复！

51: 为什么我忍魂包，来的忍魂都没有了？又出问题了？

52: 不错

53: 我也登录不了。靠

54: 更新之后还得重新开始玩

55: 一直提示版本已更新，翻来覆去十几次，就是进不去，客服就会让等，等你妹啊，把老子的钱退了

56: 怎么还是进不去了？是不是要跑路了吗？

57: 好玩？？能进去？

58: 不错，真的很好玩

59: 为什么进不了。

60: 为什么老是服务器准备中？

61: 日，老闪退。咋回事啊啊啊啊啊啊

62: 怎么又不能进去了

63: 尼玛，把我充的钱还我
这游戏是坑钱的吧

64: 更新后的试炼好费时间阿！！！

65: 继续加油更新

66: 重新下载了，玩不了了，求解释

67: 更新了十几次都不能玩    说要重新下载  下载了十几次都是个这不能就说啊  这是玩我们呢！

68: 已卸载，更新后不能玩直接

69: 我去，更新完玩不了了

70: 更新都更不了坑死人啊一直说更新错误

71: 雷之国22区，卸载完重装好几次还是进不去，清理数据也不好使，无语了，没维护好就别开

72: 什么叫服务器未开启校验'领个礼包都不行了？

73: 你妈的，骗完钱就闪人了啊！！！

74: 什么逼游戏，用流量更新完到现在都无法进入

75: 我的区呢，火之国69，充的钱呢，你们是坑？？？

76: 进去了，也废了，普通好击和反击都只能1点伤害，110万的战力还打不过90几万的

77: 说进不去的，从一级来的绝对是脑子不好用的傻屌

78: 重下看看

79: 坑爹啊！竟然进不去！那更新个屁啊！干脆说下架好了！

80: 我晕哦，更新一次完，登入时说要再更新，搞什么情况～来回四次了，就是进不去，提示要更新～～

81: 更新完到现在没进去！

82: 不知道为啥  重新下载的进不去  还一直提示让我重下  我都是刚下的  还下个蛋

83: 我擦，更新完后进去直接重头来过，从开服那天玩到现在都七十多级，搞这情况果断卸载了

84: 管理员出来回答我的问题，你出了每日任务，里面还有竞技场挑战，我第一不能打后面的排名，你让我怎么做每日任务？

85: 又要从新玩过，1级玩过

86: 以前冲的钱怎么算

87: 麻痹，进不去。爆槽

88: 怎么下载不了

89: 更新之后直接变成刚公测那时的状态了，又得从1级开始玩，艹，麻痹的，

90: 我只想说，呵呵哒

91: 瘫痪了吗？

92: 更新完，也变成一级了，也不知道vip 和成长积极哪去了。晕

93: 怎么也下载不了什么东西

94: 我只想说请卸载

95: 我只想说，你他妈没跟新好就不要拿出来让大家玩，这游戏狗做都比你做的好

96: 更新之后，再进去就是从头开始，我已经70级了，尼玛进去就1级，坑爹，不玩了，卸载

97: 我卸载完重新下可以了

98: 更新完，进不去是什么鬼

99: 无语～

100: 没什么更新了还是进不去，浪费我开4g网络下载，还下了两次！！！

101: 更新了进不去，别的不说了

102: 进不去了

103: 新区真尼玛的开的快  现在一个区能有30来个人玩？

104: 更新了，结果登不进去

105: 我也是更新完根本进不去

106: 更新了，还是进不去，

107: 破游戏？更新了之后登不上去

108: 更新进不去

109: 艹尼玛，费劳资200多M流量更新，然后进不去！我他妈游戏里充了不下200 了，什么破游戏！

110: 为什么更新了老是网络连接不通畅

111: 不错不错，可以

112: 很垃圾的游戏，画风堪比喜洋洋，内容很简单，玩一天就厌烦，不要下载了，不然会失望，还费流量.这游戏怎么还没下线，明显盗版，不要下载

113: 佩恩六道没有，人柱力没有，论坛没有，羁绊，副本，忍魂各种设定差劲，粗糙。希望能改善一下。

114: 真心想要一个做的好的火影题材游戏，然后这个依旧是垃圾

115: 玩这游戏是因为火影题材，玩第一个星期是探索时期，感觉不错，玩着玩着，一个月后基本内容就了解了，忍村呵呵。阵容呵呵。羁绊呵呵。操作呵呵。忍者呵呵。。最烦这种正版还没有盗版的好，一点业界良心都没有这游戏也就蒙蒙新人，问下大家在开新区一周后，还有谁充钱的吗？

116: 这游戏很差很差很差！！！

117: 这游戏真心差劲！表示我已经弃了！

118: 腾讯说有版权，这个游戏公司也说有版权，虽然不喜腾讯的复制黏贴那一套，玩这游戏一个多月了，现在看来还不如让腾讯去复制黏贴忍百了，这游戏现在每天登陆一下领下登录礼品，随便扫荡一下就完了。没有直达魂魄副本通道，有体力也懒得玩，

119: 这游戏是不是快该换马甲了？本是删档测试的货，剧情不到火影一半，三个月不更新，忙着开新区骗新人充钱，看样子是做完这一票，换个马甲继续坑

120: 啥时候更新副本，赶紧吧，就打到迪达拉，无聊死了

121: 忍百什么时候回来，这游戏什么时候变成忍百，

122: 忍者百分百是我玩的感觉不错的火影游戏。羁绊清晰画面优化。音乐很好而且不充钱也可以很牛。怎么TM就被放三搞下去了呢。

123: 礼包那里领取

124: 这游戏我第三天就卸载了，表示忍者百分百是我玩过最好的火影游戏，没有之一，不管是画风还是模式，可惜被那该死的放三给弄了，艹，艹，艹！！！！

125: 一句话大家别下 下一定后悔

126: 表示没钱真的跟不上去战斗力，92万不动了

127: 万年不更新，差评

128: 我就想问问 到底啥时候更新副本 就到迪达拉  一直不更新  还有啥意思

129: 操，你，妈，的，老子几天前说了，赶紧把忍百还回来，快点，操，还有，这垃圾游戏别做了

130: 完全仿照神奇宝贝，

131: 为什么评论的没有显示？

132: 怎么回事啊？已经打过三星的关卡了！第二天再打，竟然打不过！擦，难道上一次打过是关卡人物没有吃饭吗？

133: 游戏而已，喜欢玩就玩，我就冲六块第七天70W战，只是说你会玩不会玩

134: 内容不说了，你先把玩法优化一下也行啊，夺宝一次一次的点，装备碎片和魂魄既没有到副本直达，更没标示在哪个副本，还得一个一个副本去找，不优化，一天给一个差评

135: 在论坛看个帖子如果你是策划，我回了，如果我是开发商，首先把现有策划都踢了，然后聘用忍百团队，什么问题都解决了。这游戏开发商最英明决定是把忍百搞下架了。天天评论上这么多提议都不理，还搞帖子让大家提建议。有病，还有最大问题，固定佐助鸣人主角，阵容也就那两个了。啥鸡巴第七班羁绊，你让长门六道情何以堪？

136: 这游戏问题太大了

137: 这有没有搞错啊  吃拉面居然不给体力  这是闹哪样啊

138: 游戏太粗糙，赶紧给老子更新

139: 这不仿照以前的忍者百分百么，这款传说的正版，不好看，人物还少，音乐不是火影的，战斗没有配音，跟忍者百分百没个比，太垃圾了

140: 为何我的人物卡片是花的？

141: 人物太少了啊 好多人都没有

142: 好了可以玩了   太好玩了一百星

143: 更新后登不上了网络与服务连不上叫切换2G3G网络

144: 玩的好好的，为什么登不上了？一直说网络与服务器不畅？

145: 看来不是我一个人这样，冲了钱，我今天就上不去了，账号那里是空的，不能自己写就不要自动登陆。操

146: 我只想问各种碎片的出处

147: 看忍百火了，忍百没版权下架了，你们匆忙上架，制作内容羁绊粗糙不说，你们把游戏玩法弄方便也行啊，夺宝没有夺十次，装备碎片和忍者魂魄出处没有直通车不说，连出处副本都没标示，找个碎片还得一个一个副本找，找你妹啊，更新维护来回就是充值活动，不好玩冲个屁啊

148: 怎么累计充值领不了

149: 10秒闪一次。还让我们玩吗？

150: 如果可以让各区域好友对战就好了，最好是好友之间可以送东西送装备

151: 卡牌战斗系统，差评！

152: 快更新快更新

153: 日光灯v

154: 怎么吃完拉面体力没加啊。太坑了

155: OPPO玩起感觉很好

156: 少年三国志  很好   和以前的忍百很像   活动也很多   元宝送的上万

157: 妈的客服怎么联系，今天更新的转盘活动积分换装备都被坑了，换取的东西都没到账上，是被客服吃了么！！！

158: 出bug了 客服在哪里

159: 30以后玩不下去   没铜币  活动都是坑钱，商城就不说了，卖的越多越贵，价钱成倍得涨，想圈钱也让我们觉得花的值行不行。 羁绊，忍者什么的丰富一下。抽出来紫卡你告我没羁绊

160: 玩了2个月多了，宁智波鼬到现在毛都没见着，坑啊！

161: 一星都不想给     妈比    老闪退

162: 游戏很好玩，建议大家一起支持，期待26区，25区晚了两天才玩没跟上，换26区玩

163: 土豪呢拖呢？连蹭个礼包的机会都没有，全服充值活动一个达标都没有，啧啧，活动全服充值连最低档三个都没有。雷之国20区估计快成死区了，连占高矿人数都不满

164: 快更新吧！！！！！！加油！！

165: 為什麼我剛吃10點的拉麪，吃不了，吃了還是7點，不吃還是7.點靠

166: 很给力，强推

167: 毛线，吃不了拉面？

168: 确实好垃圾，充V3以下的还是歇歇吧，如果只是为了消遣可以，想认真对待就得了吧

169: 听说要大更新了，什么时候

170: 你们敢相信3次十连抽只给了一个14资质3个12的吗？说是几率随机，不管你信不信，反正我不信，不就是给了几个差评，说了几次内容没忍百好吗？让你们向忍百学习，实在不行你们据说有版权，把忍百数据买来也行啊，直接用忍百服务器就当是更新了

171: 什么玩意！老是进不去。

172: 希望可以多点变化，像以前的忍者百分百。多点配音！玩的更有激情！

173: 这游戏有限时忍者吗？

174: 为了火影，这游戏不算亏待

175: 人物少，大羁绊少，缺少宝物羁绊，画面炫酷度欠佳，毕竟有版权，要做就把它做好，不要半吊子。望早点更新

176: 怎么时候才更新啊！

177: 虽然这游戏非常好玩，就是还没更新，为毛阿飞能用出大野木的尘遁这是我想知道的

