1: 、“'

2: cxchwph
hdro9

3: 太好玩了，世界上最好玩的游戏。

4: 很好，这回是中途闪退。。。。。。。。。。。。。。。？

5: 空间太少了，像流星一样闪退

6: 好好玩哈哈哈哈哈谁要和我PK

7: 好玩！！

8: 为什么只有三种场景

9: 一颗星都不想给

10: 根本都打不开

11: 不好害的我只剩78个电

12: 还不错，喜欢冒险刺激的看我名吧！

13: 真好玩！！！！！！！！！！！！！！！！！！！！

14: 怎样不花钱得苹果呀？

15: 挺好的   只是有时有延迟   刚刚解锁了所有人物

16: 垃圾

17: 为什么到一半就闪退？？

18: 这游戏是怎么回事？怎么pk对战一直没赢过，我实力不差呀，pk对战是不是假的为了骗钻石金币的。谁pk赢过，给我个回复

19: 卡死了!不好玩！大家别下！一星也不想给！

20: buhaowan

21: 能加好友和好友对战吗

22: tmd自从我进去之后一直都是那个图片，要给我当壁纸啊！

23: 不管怎样先好评，毕竟我玩过老版，特好玩！！！！！！

24: 真个是滴老卡，有不能玩，不办不办。不要下载啊！千万别

25: 老是显示这个游戏程序已停止。

26: 人物很可爱，游戏流畅

27: 差评,跟本进不去

28: 跟本进不去
一直卡在那个图片上

29: 为什么黑屏，进不去？

30: 画面差，灵敏度低，一星都不想给！

31: 为什么，下载了这个软件了为什么没有看到

32: 垃圾，卡的要命，闪退

33: 嘿嘿！真好玩！大家快来下载！！！！！！！！

34: 不错玩玩

35: 还可以 用找乐钻石送的好多呢

36: 一颗星都不想给

37: 哈哈哈哈，好玩

38: 什么破游戏，还没怎么玩就扣掉12元手机费，致电客服，说了句话还没听明白就把电话挂了，什么破游戏，我要投诉！我要投诉！

39: 刚开始老是闪退，后来好了点

40: 还不错的游戏，喜欢

41: 还不错，会不会用网络呀。

42: 打不开，老闪退，给两星算好的了！

43: (●—●)好玩

44: 太差了，玩一局100元就没了，骗钱的游戏！

45: 这个游戏非常好玩，希望你们都来加入。千万记住特疯狂特刺激特好玩,
记得来玩哦。

46: 以前玩过。还行

47: 666666666

48: 太好玩了。

49: 好好玩，熊大棒棒哒~

50: 很好用，虽然有时候有点小小小卡，但并不影响游戏的进度，真心赞一个，如果闪退的话建议给手机杀一下毒

51: 99999999999999分

52: 太好玩了。

53: 玩起来还是可以的，我妹妹天天玩，但是有部分地方很卡，本来以为我手机问题，后来发现是游戏问题

54: 太好玩了！绝对五星！

55: 太好玩了

56: 为什么会闪退？

57: 不错，没事做，可以玩

58: 推荐给身边的同事们了，中午吃完饭都在那里玩，很值得玩的游戏~

59: 玩不了游戏了

