1: 不好用，要买关卡

2: 垃圾，打不开

3: 怎么购买关卡的时候自动停运了啊，老只能玩第二关了吗？

4: 很好玩.就是要花钱

5: 一直打不开，不到一会儿就闪退了，我也是醉了

6: 打开玩一会儿就自己退出

7: 怎么打不开   闪退

8: 为什么寒的买关卡

9: 为什么一打开就退出？

10: 好心人说一下怎么打开

11: 怎么打开

12: 账号是什么？谁能给我说一下，谢谢！

13: 拉机，打不开！！！！！！！！！！！！！！！

14: 现在为什么买不了关卡啊！！！我想买关卡继续玩啊！！！

15: 很不错的手游，无聊了可以玩玩?

16: 第三关就要付费了    太坑爹了

17: 我嘞个擦，老是闪退闪退，想作甚啊！！！

18: 第三关需要有钱买，第三关玩不得，前面两关还很好玩的。

19: 打不开

20: 你妹的，一打开就闪退

21: 不错，非常好玩，赶紧下！！！！

22: 三关卡开始还得花钱解锁(包子钱)但是非常好玩！！

23: 打不开

24: 为啥上去了全锁着?

25: 到了第九关就完不了，老是闪退。T_T

26: 为什么后面的玩不了啊

27: 不错，挺好玩的！

28: 打开了是打开了但是锁住了

29: 垃圾，闪退

30: 打开了

31: 打不开，闪退

32: 购买不了

33: 谁能告诉我怎么打开

34: 怎么开？

35: 打不开

36: 为毛打不开

37: 打不开。。。

38: 啥玩意   开不开

39: 哎哟，我去，闪退啊，重新开机也不行。我看只有最新的什么iPhone呀，什么的才行吧？

40: 为毛打不开？！

41: 我本来想购买的，可是购买不起，我也没有办法了，这是你们的原因，不是我不给好评。

42: 不好，踩一个

43: 打不开啊！！！

44: 打不开

45: 为啥打不开了

46: 打不开

47: 烂货，老是闪退，建议安卓机的人，千万不要下载，根本没用了，老是闪退

48: 为什么打不开

49: 还是好玩，只是后来要给钱

50: 为什么我的打不开

51: 他们的游戏好卡的。

52: 卡得死的游戏。别的游戏都不卡

53: 好玩是好玩，不过后来要钱了，而且充不进钱！

54: wanbuqilai

55: 闪退啊！怨念

56: 都不能玩，进都进不去

57: 要钱的...

58: 太好

59: 进都进不去啊，你妹

60: 怎么是游戏啊？跟电视里放的不一样

61: 垃圾，垃圾中的垃圾,大家千万别下，会后悔一辈子的！

62: 不能玩

63: 要钱！！！

64: 根本不讓我們玩

65: 很好玩，就是到后面二个关卡的时候要给钱

66: 太差了。真是的，气死我了，打不开啊，天哪！

67: 好是好，但是玩既关就要什么发短信

68: 差死了，

69: 呵呵，没有细节，你懂的

70: 卧槽，打不开。也没说要下载其他的安装包啊！

71: 为啥闪退，一直就进不去

72: 你妈的，开不了！

73: 差极了

74: 根本进不去

75: 打不开

76: 没有付钱呀。我觉得挺好玩的。女孩子应该喜欢。。。。就是那个人走得好慢。客人都冒烟了。。。

77: 要付钱吗?

78: 怎么付费都付不了

79: 玩着玩着就黑屏了

80: 如果好玩，还是值得付钱打赏的

81: 付钱谁玩，又不是网络游戏。垃圾

82: 都打不开，大家千万不要下！

83: 根本就进不去！！！

84: =·=好······吗？······

85: llli

86: 不好，付钱了，玩不了，很差

87: 是不是真的要付钱呀！

88: 玩着玩着就自动退出了

89: 好玩

90: 得付钱才能玩，郁闷

91: ~死坑爹的 付费15快钱 根本进不去！！

92: 根本进不去，玩不了！

93: 下了也白下，一点都进不去

94: 什么游戏呀，根本进不去！！

95: 一点都不好玩

96: 不好用？来吐吐槽吧~付费15快钱 。。 这么个游戏还收钱 真无语

97: 付费15快钱 。。  这么个游戏还收钱 真无语

98: 付费了，进不去，就是这么坑我们钱吗？

99: 安卓打不开？！

100: 晕，不好玩。最近朋友们都在说的无敌弹珠不知道怎么样，试试去

101: 奇葩

102: 闪退

103: 垃圾

104: 要钱的

105: 根本打不开啊

106: 什么破游戏，一玩就黑屏，什么都看不见，怎么玩啊。

107: 嗯……实话实说不好玩。
hello kitty比这个好玩。

108: 无语，请你们眼睛睁大一点，本来就是要收费的，好不

109: 收费的

110: 要收费的，好可恶，大家不要下载

111: 都上不去，老黑屏，什么破游戏

112: 收费……果断不玩

113: 坑，要收费的

114: 要钱吗?

115: 真心不好玩

116: 我   要     投    诉!!!太差劲了,开了半天了!!!

117: 气死我了,开了半天了都开不了,我要投诉

118: 气死我了,开了半天了都开不了,我要投诉

119: 还有这J巴游戏？我擦，不是电视剧吗？

120: 还钱！

121: 打不开啊，坑爹

122: 收费果断不玩！！

123: 无聊

124: 垃圾

125: 进不去，我下过进去闪退

126: 靠  这什么软件  垃圾死了

127: 一打开就付费，真坑爹！

128: 然 发现从个人的使用

129: 付费解锁果断走人

130: 包子钱，五毛都能买个包子，骗子，大家别给下载，他们良心被狗吃了

131: 你爹都是被你坑死的，扣了费，玩不了，一群骗子，小心掉进钱眼里闷死你

132: 饿  好无语的游戏

133: 各位朋友啊！千万别下啊！

134: 打不开、闪退，安装不了，白费流量！

135: 无法言语的差

136: 好无语，打开既然没图片。鄙视…

137: 芒果还是一贯作风 玩过莉莎系列吗 这破游戏什么原创元素都没有直接就套个主题 你妈连个病人都看不到我都无语了

138: 一打开就要付费

139: 挺好玩    但是到第三个场景就要付费了      果断卸载

140: (#‵′)靠，一进去就闪退，果断删

141: 安装不了！

142: ?靠，什么烂游戏啊，付了费还不能玩，浪费了我20几M流量就算了。还浪费了我15元，吐出我的15元

143: 付了费，还不能玩，太坑爹了吧

144: 坑啊

145: 烂游戏，付费了也不能玩。太坑了。果断差评

146: 玩了几分钟就要付费了

147: 收费的这么明显，不下了

148: 差评，说是解锁付费，还得付15元！

149: 妈的，超级垃圾

150: 坑人

151: 很呕，打不开

152: 好多差评!

153: 打不开，黑屏

154: 看了那么多差评，，果断不想下载

155: 一听名字就好狗血

156: 付了款，怎么也玩不了？？？？

157: 都不能玩，谁玩倒霉

158: 渣！要交费15.。

159: 老师退出，进都进不去

160: 还好。就是要收费

161: 怎么连买都买不了啊！！！！

162: 卡，很卡，非常卡，真心不想说了。

163: 还好、、、、、、、

164: 额

165: 收15元

166: 怎么才能打开关卡？

167: 怎么打不来关卡啊

168: 我讨厌联网

169: 垃圾游戏玩的要钱。手指都点累死了。就是坑游戏

170: 我也是！

171: 玩都玩不了

172: 要不到一关就自己退出了

173: 买了玩不了。能给个解释么？

174: 垃圾

175: wocashenmoyouxia

176: 沙发

177: 钱钱钱   掉钱眼去了

178: 到底什么意思，设置的什么游戏，说了更新还是，钱支付起了还是锁关卡。官方给个解释

179: 我去
还要钱我不下了

180: 求解释，买了两次，玩不了，用了我三十块钱，这是什么意思

181: 还要钱啊

182: 好玩是好玩，可是，要钱啊！！！尼玛！！！？？

183: 游戏好不好玩呀,

184: 尼玛！花了我十五元

