1: 哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈哈哈哈好

2: 不知道为什么每玩完一关就闪退，如果有时间规定玩多少分，玩到一半就退出

3: 这个游戏太好玩了，值得推荐！一定要下载哟！！

4: 很不错，就是体力太少。不过很赞。玩了很久了。

5: 很好玩的游戏，大家值得下载！

6: 跟好玩，但是什么时候能再更新，总是不更新

7: 哇唔，感觉客服好尽责，每条都回

8: 打不开，进不去都下载好多次了，都一样！

9: 超棒的！

10: tai bu hao wan le

11: 不好玩呀!

12: 好玩，赞赞赞♡♡

13: 第66关过关恨难，花钱都过不去。

14: 还可以 不错

15: 好玩么？？？？？？

16: 爸爸第三季什么时候上线呀？

17: 我的被初始化了，怎么办呀！马上要通关了。所有的都初始了。就能量还是84滴。其余全没了。气人。

18: 不买体力，非让买，不买还不让玩儿，希望能处理一下。

19: 闪退呀!一星也不想评!

20: 进不去呀!进了一遍又一遍,还是进不去,真是无语了,希望客服回服，为什么进不去呀!

21: 可好玩了大家快去下载吧！

22: 好玩牙

23: 爸爸去那儿第三季何时上线呀。

24: 降落伞怎么翻亲

25: 不好玩儿。

26: 垃圾，上不去

27: 垃圾！老闪退

28: 一玩就摔倒，过不去关，气死我了。

29: 煞笔游戏。。。。。。。。。垃圾

30: 游戏什么的都是那么玩的，最后看我昵称才够劲！

31: 爸爸3何时上线呀？

32: 有兑换码吗？

33: 好好玩啊！

34: 不好玩一直闪退，不玩了。

35: 提个意见，第一、二季没时候更新，给个差评。

36: 很好玩，就是人物技能奖厉太低。

37: 闪退

38: 老闪退

39: 好不好玩儿？

40: 要钱时，退不出去

41: 很好玩d

42: 还没玩儿，不过这个系列认为不错

43: 怎么要网络？

44: 爸爸3那组家庭先上线，刘桦的闺女，邹市明的小儿子，包祖婆有吗？

45: 很好玩，就是没时候更新。

46: 需要网络吗？是单机游戏吗

47: 太幼稚了点吧

48: 这不是抄袭天天酷跑吗？

49: 每玩一关就闪退一次

50: 什么时侯更新。

51: 不错还挺好

52: 烂╰_╯游戏

53: 好玩是好玩，就是体力太少了，希望增加的快些

54: 打一遍，打不开，打两遍打不开，打三遍打不开...就这样，我打开打了一个早上，终于打开了，玩的时候竟然突然闪退，卸载了。气死我了【表情】

55: 非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常好玩

56: 超级超级超级超级好玩

57: 超级好玩，牛爆了！！

58: 挺好的，感觉好战内纯，，，

59: 很好玩，就是更新的慢，希望爸爸3早日上线。

60: 好玩是好玩，但是为啥第一天体力20，第二天就变成5了，不送嘛？

61: 好玩是好玩，但是怎么都打不开

62: 不好

63: 为什么不能打开

64: 好玩好玩啊

65: 不好玩

66: 什么时候更新，爸爸3何时上线。

67: 棒棒哒！

68: 好，但是如果里面的角色都是用星星买，或都用游戏里的金币买到，那样，所有人就都会喜欢

69: 能不用网络玩吗？

70: 无聊，打不开

71: 好玩

72: 赞赞赞(≧▽≦)/

73: 好歹出来解释下啊

74: 进不去。。。                                                ~T_T~~T_T~

75: 好玩是好玩就是这个游戏必须联网

76: 很好

77: 希望爸爸去哪儿3只要不整三消类的游戏就行

78: 真好玩！力赞！

79: 超级喜欢这款节目（微L061610），期待第三季早上线。

80: 何时更新，希望爸爸3早日上线。

81: 道具为什么要付费

82: 好玩

83: 太好玩了，五星！希望爸爸三能快点出来！

84: 好好玩

85: 刚上去，就停止运行

86: 爸爸去哪儿1怎么没有

87: 闪退王

88: 好好玩

89: 为啥黑屏

90: 兑换码多少

91: 第15关收集茄子和白菜，不是茄子没有好多就是白菜没有好多，差。

92: 很好，顶顶顶

93: 一个月内爸爸3能上线吗？

94: 我玩的是破解版不用花钱

95: 爸爸1.2何时更新，希望爸爸3早日上线。

96: 总秒退，刚打开就自动秒退了，大家千万别下载，会上当受骗浪费你的手机内存。

97: 卧槽，太烂了

98: 超好玩，把李锐加进去更好。

99: 很好，顶，，

100: 很喜欢这个节目的说，，，，游戏也不错呢。。。还有，，，为神马你们哒回复那么严肃呢。。→_→

101: 爸爸3与爸爸2有什么区别，能透漏一下吗？

102: 爸爸3快出来

103: 快点更新呀，爸爸3何时上线。

104: 最近播第三季了，哈哈，喜欢玩这类休闲，也在玩⑩分难合成！

105: 不错，很好玩！期待爸爸3

106: 我无线网明明都满格了，结果登了半个小时系统还是说无法连接到网络设置！？好不容易登录了，它竟然直接闪退了，我想知道应该怎么解决啊

107: 李偌冰你太憨了，人家这么好玩的游戏被你说成这样。记的点赞

108: 为什么打不开？

109: 怎么人物升级，爸爸1、2包装全面升级一下。

110: 更新真慢呀?

111: 很好玩，爸爸3何时上线。

112: 道具买不上

113: 还不错

114: 何时更新

115: 好！不好玩的人是傻子

116: 破游戏，好费钱啊

117: 太好了！希望越来越好！

118: 不错挺好玩

119: 就是人物服装多一些

120: 很好玩的游戏

121: 好玩吗，点赞啊

122: 怎么安装不起？

123: 真好玩，加油

124: 还我钱，还我钱

125: 什么都沒做刚进去不到十秒一不小心就扣我28元钱，我深深怀疑是吸费软件!!!

126: 新版本关卡全开就好了。

127: 继续加油！！！！！

128: 很好玩，什么时候出新版本

129: 超棒呢！！！！！！！！！

130: 嗯，很好玩，给32个赞！希望这个游戏做得更好哟O(∩_∩)O

131: 怎么都注册不了怎么回事

132: 在那里更新

133: 超好玩！

134: 还不错哦

135: 咳咳、、、内个，，请问你们是怎么回复评论的

136: 还不错啦啦

137: 看起来好像很好玩！O(∩_∩)O~~

138: 好玩

139: 好玩

140: 在哪里可以更新啊。

141: 很好玩

142: 太好玩了我都玩到最后一关了

143: 太好玩了这个游戏

144: 怎么样也进不去

145: 为什么，登录成功以后就自动退出游戏？

146: 什么破游戏，进都进不去

147: 要不要流量

148: 垃圾游戏，大家别载

149: 谁能帮忙，我的游戏没有登陆奖励呢？

150: 谁知道我的无尽闯关为什么不能收钻了？

151: 他妈的，又卡又闪退，死游戏

152: 很好玩....

153: 很久没有更新了怎么回事

154: 什么联网啊，不联网也能玩

155: 为什么注册过一次再注册另外的就不行了呢？

156: 这个是联网才能玩的？

157: 很不错，一直在玩，221394910我们共同的朋友，备注：奥博介绍，不然不让进哦！！！

158: 额，，有点卡，再也不玩了

159: 这个游戏必须联网么？

160: 这个游戏比天天酷跑好玩吗？

161: 发现一款跑酷少年2，也很好玩。

162: 手机不支持

163: 不好玩很卡

164: 你们的闪不闪退

165: 很好玩。^_^

166: 好玩吗了？？？？？？？？？

167: 这太好玩了！

168: 为什么老实闪退呢？你们的不会闪退吗？

169: 为什么老是闪退，游戏挺好，就是闪退，气死我了，老是退出来，还卡得要死，我内存是百分之百充足的！

170: 怎么进不去啊？

171: 咳咳、、、内个，，请问你们是怎么回复评论的

172: 好棒棒推荐

173: 手机不支持啊。

174: 不错
.........

175: 好玩吗

176: 要网络吗？

177: 不错啊

178: 搜合买版下载中彩票应用，目前发现唯一可以正常手机购彩的公司，信誉非常好，推荐使用这个。

179: 怎么(⊙_⊙?)打不开了，

180: 大家下栽把很好玩

181: 要网才能打开

182: 好玩吗？我是小盆友。好玩吗

183: 下载只后打开游戏上面就出提醒，说你的手机要报废赶紧买个好的吧，这是什么破游戏，难道苹果6也报废了？

184: 游戏不错，但手机不行啊，我得还手机了

185: 别下，打不开

186: 赶快更新吧，赶快有新关卡吧，这都这么久了还没有新关卡，好急人啊，建议大电影里面也可以有新关卡，你们的登录奖励太少了，希望可以改进，求新关卡～～～

187: 好卡呀。！怎么才能不卡？？

188: 为什么我玩了几盘之后就打不开了！为什么！

189: 唉？下载不了了- -

190: 好玩，就是下载太慢，很卡

191: 好玩

192: 不好玩，无聊

193: 挺好

194: 垃圾

195: 穷额前最新电话入党积极加入教体局人体肌肉图就突然收到粉丝

196: 太好玩了！比其它游戏好玩一万倍！

197: 好精彩，朋友们更喜欢一款。。跑酷少年2

198: 为什么我进不去？

199: 非常好玩！我觉得比爸爸去哪2好玩一百倍，给一万个赞。

200: 莫名其妙的扣我18块钱  扣了也给点东西我啊 怎么什么都没有

201: 超好玩不下无聊时可以玩玩打发时间的好游戏哦

202: 超好的，一定要下啊^O^

203: 太好玩了，支持爸爸去哪？支持爸爸去拿哪游戏

204: 超好玩！力荐！

205: 好玩！不下载会后悔的。就是找了老半天才找到，还以为没了呢！

206: 太好玩了，一起来玩吧

207: 还不更新

208: 下载速度太慢了，不过太好玩了。

209: 一万个赞太好玩了

210: 超卡，下载超慢、

211: 怎么升级人物

212: 下载好慢！

213: N你们不会下破解版吗二逼

214: [心碎]开不下来

215: 根本进不去！

216: 你们是傻吊，老子叫王者

217: Good我喜欢

218: 比起2我还是喜欢1

219: 好玩

220: 真好！赞赞赞！

221: 不好玩，我都不能玩，真是的.

222: 太好了！好玩！多下！

223: 拉黑

224: 正在下，感觉还可以

225: 这个游戏跟本玩不了，大家下载会后悔的！

226: 确实很好玩.找了半天0.0才找到.这是我见过最耐玩的游戏.赞吧

227: 好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好！赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞！

228: 不要下你会后悔的

229: 打都打不开

230: 太好玩了！！！！！！！！！！！

231: 无限赞！！！！！！！！！！！！！！！！！！

232: ........

233: 用找、乐、助、手玩，不扣钱，放心让孩子玩。很给力的，道具多。

234: 打不开呀。

235: 好好

236: 占用内存太大

237: 更新后，再安装都装不起，我都试了两天了！-_-||

238: 新版到开始界面就卡住，然后就停止退出了

239: 玩起来太爽了，但是启动的时候就是太卡了

240: 不会

241: 不好玩，别下

242: 闯关有奖的奖励都领取不了

243: 那个闯关有奖的奖励都领不到

244: 我觉得这个还不如神庙逃亡

245: 这游戏需要网络吗？？

246: 这游戏要网络吗？

247: 我更新了，玩了之后就说停止运行怎么回事

248: 不好玩

249: 非常好玩!!!

250: 后面基本每关要用钱来过关，也太赚钱了

251: Good！

252: 呵呵

253: 好玩

254: 不行啊，太不好玩了

255: 还以为更新了结果没怎么样

256: 这款游戏要网络的吗？

257: 哎一般

258: 太好玩了

259: 神马？？?？

260: 那个点击免费进行

261: 太好玩了！停都停不下来！！！！

262: 是单机游戏吗

263: 不太好玩，希望作家再接再厉！

264: 大电影第四关卡了！你们要修复呀！不然多少命都不够玩！

265: 没发玩，根本就打不开。

266: 狗日的人啊

267: 麻痹的什么狗比游戏，连耍不能耍，

268: 爽！！！！！

269: 这是什么破游戏呀
玩着玩着就卡了
还差一点把我的手机卡坏了

270: 啥时更新啊

271: 确实很好玩，只是需要联网，有些耗流量，感觉没有刚发布时那么好了。望改进。。

272: 很好玩

273: 超超超好玩

274: 还挺好玩的哟！

275: 很久很久没有更新了

276: 好玩

277: 一起能玩  后来不小心卸载了  又重新下载就不能玩了

278: 很好！

279: 垃圾游戏，道具直接扣话费，小孩玩的时候胡乱点，扣了好几十块钱！千万别下给小孩子玩！

280: 我停在64关，过不去了，宝石也用完了，花钱买可我怎买不了啊！

281: 为什么会闪退啊？？？？？？？

282: 就是打不开

283: 188关不用道具，有人能过吗？bug太多了。。。有时候人就卡在某个角落了

284: 根本就打不开

285: 不好玩！

286: 搜索一款【跑酷少年2】很不错

287: 还不错，就是有时候进不去。

288: 老闪退

289: 打不开，垃圾！

290: 打不开

291: 安装不了

292: 这游戏不联网能不能玩啊？

293: 85关太难了

294: 重装系统，原来买过的永久道具怎样取回？

295: 99关似乎玩不完，无限时间，到处都是时间

296: 有时候打不开？ 不好

297: 呸，什么破东西。根本就打不开。怎么玩啊！看着都恶心！！！…

298: 根本就打不开

299: haowan

300: 大冒险那骑鸟后就一直要骑鸟都到不了中点、还有那21关不到一下就到中点了而且吃的鱼那么少。我给差评！

301: 怎么进不了啊！

302: 进去就打不开真卡

303: 为什么不能彻底删掉重新下载，每次都是保持原有记录

304: 总是闪退58

305: 总是打不开，这个游戏是不是要钱哪。

306: 我的手机型号是联想A656，怎么总是闪退

307: 打不开，不好

308: 好9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999个赞

309: 太棒了

310: 为什么大电影里的关卡从第四关开始就没法玩了

311: 奇怪，怎么打不开呢?

312: 玩不了，内存太大了

313: 为什么打不开，求破解

314: 这个游戏真是太棒了，感谢爸爸去哪儿官网

315: 好   1000000个赞

316: 很好啊很好，希望继续加油努力呀！

317: 下了打不开

318: 电影关卡不能玩，

319: 好玩

320: 垃圾游戏

321: 不错哦，我什么东西都有了赞一个！！！

322: 不错，非常好，力荐

323: 我靠，这个东西怎么下的但玩不了。

324: 真恶擦擦擦擦擦擦擦擦擦擦

325: 这个游戏很好玩，画面也特别漂亮，好喜欢，赞一个

326: 很好玩，赶快下载吧。

327: 太好玩

328: 好喜欢 很赞

329: 好喜欢一款极限男孩2。

330: 哈哈哈  真的很不错呀  亲们应该用找了助手玩的。省钱了还有免费的的道具可用，萌爸萌娃开心梦跑酷呀

331: 好刺激呀  复活不需要支付的  你要用对软件  我用那个找乐游戏助手玩的  根本不花钱  无聊的时候还可以抽抽奖

332: 挺好玩的，越来越耐玩，快更新快更新！！

333: 还不错吧！！！！！

334: 还的登陆，什么啊

335: 好刺激，还玩了款跑酷自行车2，好给力。。

336: 非常差！！！！！！！居然玩不了！！！？！

337: 呵呵，不错嘛小子

338: 安装失败

