1: 此游戏开发者确定不怕天美叫你上法庭？

2: 关卡解锁不要钱，各种角色任意选，多重玩法等等，颠覆一些游戏一干啥就要钱的，好评，好评，好评

3: 好惨啊！

4: 为什么就是我打不开啊！苍天啊！

5: 还没有天天酷跑好玩呐！

6: 靠你娘

7: 很好

8: 给个兑换码呗朋友们

9: 更新之后更好玩了！

10: 小孩子喜欢玩 用找乐装一个领礼包吧

11: 您的赞美就是给作者最大的不错啦！！！！！
回报，觉得好就表扬TA一下吧。

12: 礼包好少

13: 好好

14: 不错啦！！！！！

15: 更新不了…

16: 游戏好玩，可是为什么我存档老是丢失，要重新来过

17: 什么时候更新啊？

18: 太好玩了太好玩

19: 为什么还不更新阿

20: 版本太旧，官网早就1.2.9了，这还是1.2.3。多次反馈，但是至今未更新！！！

21: 版本太旧，求更新！

22: 用找乐玩吧 防止小孩子瞎点扣费呢

23: 不能玩这个游戏

24: 第一次下感觉特别好玩，后来就有点卡

25: 好好玩呀( ⊙ o ⊙ )！

26: 一般

27: 还行的吧、就是地图背景没怎么变、note2无闪退

28: 太好玩了

29: 真的很好玩，大家快来下载吧:-)

30: iPhone上不需要花钱就能玩的好，待遇福利也比安卓的强好几倍!网易干什么啊？讨好苹果啊？

31: 好玩，但是我玩了一下吃碗饭就一直黑频

32: 太好玩了吧！

33: 凭什么苹果机和安卓游戏不同，待遇不同，我们安卓要用RMB买，苹果用火腿买，而且更新比我们早，你们什么意思

34: 扣钱居然不需要同意输个密码什么的，垃圾游戏，提醒大家千万不要点到那些付费道具，只要点到，那么恭喜你，你的钱飞了

35: 还行

36: 太好玩了！！！

37: 拉圾中的废品，废品中的破烂，破烂中的不可回收！什么都要付费！启天了！

38: 自己手机卡就不要怪游戏

39: 这游戏太好玩了

40: 那么，计划还没激活码，

41: 儿时的回忆

42: 不公平啊，为什么买老鼠不能用鸡腿

43: 儿时的回忆

44: 挺不错的，赞一个希望大家也多多玩啊

45: 早上玩还好好的，为什么下午一上去就什么都没有了？！！！我的老鼠内些都没了，关卡都没了，都得重新玩，我朋友在也是更新之后，前面玩的都没了！！！真恶心

46: 爱不释手

47: 挺好玩的

48: 挺好玩的

49: 不好玩什么狗屁玩意烦人我再也不现在这个游戏了

50: 不好，如果正在玩这款游戏时连接电脑，就会卡机！

51: 很好，孩子很喜欢

52: 好玩！！！！！！！

53: 太好玩了

54: 也是醉了，垃圾中的战斗机。

55: 很好玩就是太间单了

56: 还行

57: 亏拒绝

58: 好玩

59: 不错哦!

60: 好玩！

61: 弱智弱智弱智

62: 为毛药水怎么用?怎么按都直接掉下去

63: 妈蛋，安卓手机购买角色要钱，iPhone6Plus购买角色可以用火腿，为啥差别这样？我同样一起下载的!

64: 千~万~别~下~~~

65: 打~~不~~开~~~~（幽怨~~~）

66: 好玩的要我命

67: 棒棒哒，好玩

68: 咬了我80我去吭钱啊，我按啥了，我要举报

69: 不多说了  就是不赖

70: 五量

71: 唉没有破解版的玩儿不起啊

72: 不错，玩法新颖

73: 很好很好很好

74: 啊某某，你赢了

75: 啊某某，你赢了

76: 竟然有

77: 太卡B了

78: 救苦救难

79: 太太太太太太太太太好

80: 特别好玩的跑酷类游戏，特别好玩

81: 特好玩，快下载

82: yijkjnknmkk

83: 兑奖码632008711，设置里界面里领取

84: 什么时候更新啊…

85: 哈哈，真好玩。而且不闪退。

86: 看我，找个辣妹一起玩

87: 没等进呢就闪退了

88: 很好玩，而且不闪退

89: 要网吗

90: 这个游戏我玩到30多关了都，今天突然打开发现有TM的回到第一关！！！！之前玩的记录全都没了！！！！！已经这样三次了！！！

91: 我只是打酱油的！

