1: 垃圾，一点都不好玩

2: 还可以。

3: 总是闪退，一点也不好玩。大家千万别下

4: 挺好的，还不错哦

5: 卧曹吞流量啊
！

6: 打不开

7: 电视节目倒是很好看的说，不知游戏咋样

8: 垃圾，加载不了

9: 开都开不了

10: 他妈的，一玩就闪退

11: 尼玛，跟本就进不去是骗人的大家千万别下

12: 我玩还可以吧有时候也闪退

13: 你们说的都不好

14: 快快乐乐

15: 设置在哪里

16: 千万别下，你点击它，就蹦出个黑屏

17: 这游戏要网吗

18: 真好玩儿！

19: 好玩真好玩

20: 很好玩，还不错

21: 垃圾垃圾垃圾垃圾垃圾

22: 好卡，加载慢

23: hao    wan

24: 刚下，不过不知好玩吗？？
33

25: 太卡，打不开

26: 尼玛,坑人的

27: 垃圾啊，

28: 好玩

29: 刚下，不过不知好玩吗？？

30: 只要更新了就玩不了   垃圾

31: 好玩

32: 一般

33: 我已经充了好多了，只不过这头没有vip

34: 闪退的只能说你们手机都渣渣

35: 快更新吧

36: 寻找刺激，来这里找到辣妹聊

37: 好！

38: 可以

39: 一般一般世界地3

40: 爽就是爽

41: 好玩极了

42: 要流量吗?

43: 垃圾，说好玩的人 眼瞎

44: 无聊

45: 不错，支持烧饼购买改负数

46: 我喜欢冲冲家族包括王乐乐和余声姐姐

47: 好无聊

48: 不好一点都不好老是闪退千万别下

49: 垃圾游戏，太他妈的简单了轻轻松松就过关了，还老是闪退。

50: good，很不错。

51: 刚下就花钱！别下！

52: 不好玩，大家千万别下

53: 真的很好用  32个赞

54: 真垃圾的游戏，还必须用道具，这还有强迫的啊，建议大家不要下载

55: 闪退

56: 不错，赞一个

57: 好玩是好玩，但老卡！！

58: 好玩!<3<3<3

59: 不评论，好玩不好玩只有自己知道！

60: 呵呵，一开始还好，输了从360商城买的礼包后就开始黑屏，怎么打都打不开，

61: 渣渣，一天都闪退。。。︶︿︶

62: 要么闪退！！！要么刚开启游戏手机就自动关机！！！还必须要买新手礼包！！！人家只是想安静的玩个游戏而已！！！

63: 操你妈个逼的游戏总是退闪太渣渣了[手枪][手枪][手枪][炸弹][炸弹][炸弹]

64: 操你妈了个逼的老是退闪

65: 闪退闪退闪退闪退闪退

66: 还行

