1: 我只是说说我在这游戏的遭遇而已，很多的神墓一测玩家已经退了。

2: 她让我从其他客户端下载。大家也都知道，我一测的版本是360，她让我从其他客户端下载，这不就是换个号，等我公测没有当时的账号他们自然就不会下发我奖励，神墓开发商，你们让玩家寒心不！！！当初一测把我卡在决斗场里，整个一测的玩家都能看到我！幸亏群里人告诉了我！你们所谓的修复，修复一天吧，嗯？后来我说把我做成雕像，你说可以，草，雕像呢，游戏都进不去了，我还玩个p！！！你们这游戏就是对不起广大玩家！垃圾！

3: 就拿我举例子，在这次测试开始，我重新下载了神墓（由于神墓删档群内通知都要卸了重装）呵呵，进不去了，很牛b的闪退，我关机清理垃圾等等一切的程序都做完之后，还是进不去，然后我找到了客服qq，我就问，请问游戏怎么总是闪退，呵呵了，人家回了一句，小米手机不支持此游戏（小米手机所谓国产，你们游戏不是中国的吗？国产游戏不支持国产手机，呵呵了）

4: 还没下这个游戏的玩家们，我建议你们还是不要下载这个游戏
我是这游戏一测的玩家，一测时叫巴黎旧约i，当时的第一叫dopa，我想说的很多，字数限制所以我只能分几条评论，这游戏1测的时候漏洞百出，我们这些一测玩家帮他们解决了不少的bug，例如一测的矿洞是可以无限刷的，一测的普通pk场是可以匹配到变态30级剑阁的人的！一测人不多，一测我举报过几次bug，你们应该知道，有测试的大礼包，公测发（继续下面论）

5: 好垃圾的游戏100M网速都登陆不进去

6: 难怪评论那么差，每天都有维护，可闪退问题就是不解决。我要少林伏魔从没点过一次，MP的玩着10分钟不到就掉一次，咋玩只有卸载没办法

7: 你麻啵呀，垃圾东西小说那么好，你爷爷的出的什么逼游戏？败坏小说精华草拟妹子的

8: 有点坑，闪退太厉害了，而且掉了什么都没有了，没有任何补偿

9: 游戏打不开

10: 幸运玩家是真的吗

11: 游戏不错就是没有小地图希望改进

12: 进不去

13: 你们手机垃圾说游戏不行，步步高X5完美运行

14: 玩泥煤啊。。。刚刚进去就闪退。现在连进都进不去勒。浪费老子150M流量艹

15: 老闪退，求解决

16: 傻逼游戏。进都进不去

17: sb游戏，艹

18: 为什么进都进不去啊？

19: 进不去，出代码

20: 卡的要死太烂了

21: 垃圾游戏，打不开还打广告打的不停

22: 什么比垃圾，进去都进不去。一看就是个二逼公司出来骗钱的

23: 根本就打不开 就出了个代码   玩个毛啊

24: 快关门吧，别开了，开了也是害人。

25: 敢不敢不維護了，要不吧錢退了

26: 老是維護你妹啊！充了50就不能玩了嗎，求解釋

27: 垃圾，冲钱不到账

28: 什么玩意儿 登陆不上？

29: 游戏真是垃圾，明显是盗版格斗江湖的

30: 泥煤！！！！！！！

31: 泥煤！！！！！！怎么补偿我！！！！！！！钱是白充的！！！！

32: 垃圾游戏大家别玩

33: 下载好，进不去。。。还没进坑的，赶紧走

34: 说的维护30分钟，都几点了，凑！坑钱的货，充了钱都给什么了？这是明抢吗

35: 没有下载的就此止步啊，下了的果断卸载了吧！

36: 什么垃圾啊！360这久怎么老是这样啊，这种更本就进不去的游戏都会有啊。太垃圾了。

37: 妈逼，充钱什么也没到位，

38: 我艹，维护完了，充值的还没到账

39: 破游戏下载玩不了出错误代码

40: 充值完了，都没动静，什么意思

41: 进不去游戏，登录就说无网络，我特么用的是WiFi

42: 什么情况。创建完人物后进不去。直接提示网络不好。可是我的网络是好的！能玩这个游戏的都是奔着原著小说来的。别让大家失望。

43: 游戏画面逼真，进退副本设计脑残，进退都要载入，影响游戏快感！

44: 真心不错，即便不是人民币玩家也照样玩的很开心，不是那种不充钱就不能活的手游。我玩过的游戏挺多的，这个游戏我觉得还是比较容易上手的，不知道其他人感受如何。新手时期的引导也做得不错，而且每次都会提醒你换装备来提升战力。

45: 知道神墓OL这个游戏也是托了神墓小说的威名，从06年一直跟到小说完结我应该也算是头号书粉了吧。无意中逛到这里正好赶上手里没有游戏可玩就贸然下了一下，感觉和小说的还原度还是很高的，另外就是竞技PK那着实让人觉得惊喜，算是款不错的游戏吧~游戏的流畅度也还不错，就是对网速要求很高，偶尔会掉线所以会觉得不爽，望改进！总体上算是一款非常好玩的游戏哦~

46: 卧槽啊 刚首充完退出再进号没了变成三个一级同名人物 就算我进错区别的区也应该有号啊别的区也没号 你能有多坑啊  多坑我一个首充你就发财了啊 祝你全家早早安息

47: 垃圾游戏！卡的一逼，什么都要读取，进一次副本读一次！冲三十块钱都不到帐，操你妈逼，垃圾公司

48: 首充一直不到账是几个意思？

49: 草进不了游戏…

50: 首充一直没到帐，请解释

51: 不能进入发布出来干叼

52: 为什么进不去，除了最上方有一条什么东西，其他全是黑屏

53: 我刚首充完  退了再进没号了？  怎么解释啊

54: 11点了怎么进不去

55: 已下载，静候开服，测试时玩过一次，个人觉得还是挺不错的

56: 魅族mx4直接闪退。。无奈了

57: 怎么进不了

58: 94％老是退出去

59: 很不错的游戏，支持!很不错的游戏，支持!很不错的游戏，支持!很不错的游戏，支持!很不错的游戏，支持!

60: 就是因为神墓我才下的，这次正好赶上删档充值测试，看到评论这么多说返的比较多所以就试着充了一点钱，等留着公测时候用。

61: 个人觉得还是实时PK最有意思有意思的，不是你等级高战力高就能PK的过，关键还是要靠手法。这不好的方面就是闪退，让人好焦心……

62: 作为读过神墓不下5遍的资深书迷来说，一看做剧情这块的人就是读过很多遍的，否则有些细节也不会拿捏的那么好。但是游戏内玩家之间交互做的有些薄弱，建议增加一些师徒或是帮会功能，会比较有意思。

63: 相比我玩过的其他动作手游，神墓OL还是比较好玩的，首先画质清晰，特效够炫，剧情还原度也比较高

64: 首测的时候玩了，看到当时给官方提的修改意见被采纳，觉得还是很良心的！继续支持！相比我玩过的其他动作手游，神墓OL还是比较好玩的，首先画质清晰，特效够炫，剧情还原度也比较高

65: 上次测试只有安卓系统的，这回终于等到ios也可以玩了！

66: 看到小说里的十八层地狱、王城争霸、龙穴探宝，想起当初看小说的时候，好爱这个游戏！

67: 之前玩有的关卡感觉略难，这次15级 角色突破之后我实力大增啊！还能参悟职业终极杀招。捡了一大堆装备去突破，积累经验值，1v1老子各种牛逼！

