1: 进不去，几个意思。

2: 操作复杂 累的要死  难适应

3: 游戏是挺不错的  就是操作太难了 很难上手，哎适应不了

4: 职业太少

5: 麻烦请把网络延迟的问题解决一下

6: 怎么这里都没看见有礼包领了

7: 当然美中不足呢，在我看来只有两点，一个就是网络延迟问题，WiFi满格都能网络延迟，我也是醉了。还有就是每天晚上八点以后的单人竞技，那些VIP玩家确实有点坑了，虽然我们也加战力，可却丝毫没用。希望完美再改进一下，这样的话这游戏在我心里就真的完美了！

8: 现在很多RPG或ARPG手游都沿用了英雄联盟的玩法，站桩试，就是两个人站在一起，你打我一下，我打你一下，最后放个大招，这不明摆着拿血在拼吗？像笑傲这样的真心找不到了，为什么很多人说中国游戏做得差，我想肯定那都是爱沿用别人的玩法。好好的RPG怎么能成MOBA呢？大家说是吧！希望完美能一直保持下去

9: 说真的，完美的游戏就是好，画质好，打击感强，场面炫。最重要的是放完大招不是冷却时间的那种。大家没发现吗，这就是笑傲3d的特点，不拼血量，拼身法，玩起来就比那些大招用冷却手机的带劲。大家不妨去体验一下，类似笑傲玩法的手游，你能找到几个！

10: 神魔大陆各方面都比这个好，画面，地图空间，副本，主要是人多

11: 垃圾游戏怎么就没有游戏比梦幻好的啊

12: 太好玩了

13: 《笑傲江湖》、九阴真经、卧虎藏龙、天龙八部为武侠网游的四大作，都为真人版、各有特色。此手游上手快、很有趣、可对玩家顾及面小、不充币难有功夫大师出现。游戏操控合理些更好。

14: 这游戏没有打击感没轻功走路好慢，连击好慢

15: 没意思，一点都不像天龙八部那样，没人气，看不到人，不玩了

16: 为什么没有礼包

17: 我怎么老是闪退！玩九阴真经就不会闪。

18: 看看好不好玩

19: 我怎么进不去啊？是不是在维护

20: 虽然我的号升星不利，但是还是推荐一下，不错的武侠手游，比天龙八部，九阴真经强多了，绝对是国民第一武侠手游。五星评价

21: 呃呃，有人玩吗

22: 安装不了艹

23: 还没玩呢不知如何

24: 这游戏可以玩轻功吗    ，，，可以的话多少级能轻功啊！

25: 这游戏能轻功么？   客服！

26: 完美莪操你老娘，笑傲升星能滴那逼料

27: 是不用担心星星没了，升星升了半天升不上去都不敢再升了，当然星星没不了，草泥马的完美

28: 说好听点，这游戏纯粹就是gshi。

29: 那是你手机的问题

30: 我曹’登了18次18次没登上

31: 进不去怎么回事

32: 为什么出现完美世界后就黑屏了

33: 为何天天维护呢？求解！！！！

34: 各级决战每日最高三次，却有四个人打。强烈建议改成各级决战每日最高四次。另外，各个方面均不尽人意

35: 大神求带

36: 12：30了还维护，铁了心不让我们玩了？

37: 就不能半夜3点更新维护啊！浪费我们时间嘛

38: 12点过啦，还维护？

39: 咋还进不去？

40: 咋进不去了

41: 说不好都是没玩过的，游戏很好玩

42: 垃圾游戏

43: 说九点开始一个半小时，现在都过了还在维护

44: 一直在系统修复中

45: 为什么下载注册完却进不去啊？求大师指点

46: 草，建不了角色，一输入名字就有空白提示。

47: 更新毛阿、不是两小时吗、现在都几点了还进不去、

48: 优化差劲，不是我机子渣，是这游戏太坑比，卡死人不偿命，没见过优化这么差劲的

49: 怎么进不去

50: (≧▽≦)/赞 好游戏

51: 下载不下去啊，这是怎么一回事啊？

52: 还行，看看再说吧，毕竟眼见不一定为实

53: 妈的，进都进不去，玩个屁！差评

54: 经常闪退   求解

55: 怎么没有拍卖行？手机发烫。

56: 妈的进到马上闪退

57: 为什么老是闪退的都玩不了

58: 门派太少了！建议加八大门派。

59: 我去下载完这游戏紫色装备这么难得呀！

60: 进不去

61: 大家玩过电脑网页版的比如斗破，天龙等武侠游戏没？如果玩过，就明白你要进的游戏是什么了，没什么新意，但对一款手游还是值得推荐！

62: 尼玛的，更新后都登录不上去了，更什么新？？？

63: 完美啥叫更新服务器失败，给个合理解释，

64: 玩尼玛，进不去，更新错误，完美你妈

65: 360帐号怎么登录不了？

66: 破游戏，进不去了

67: 游戏不错，20级后升级困难了好多，游戏里还要下载100兆的地图数据包，，不然只能玩玩新手地图

68: 过了一个月了  还是进不去  5.0系统不能玩了  到现在都多长时间了  估计这游戏是不想开了

69: 总是闪退

70: 狗屁游戏

71: 闪婚，太快尼玛

72: md升星升的蛋疼，你行，

73: 刚要海不知道

74: 动作画面都不错

75: 电脑版出新门派了，用rpc平台下载能玩，比手机版强

76: 目前玩的最久的手游，说明可玩性还可以。建议加个小地图看场景。

77: 总是闪退

78: 真的很无聊，电脑玩有十大门派呢。。

79: 我整整下了三遍才下完。。。。

80: 垃圾，进去就退了，

81: 女角色都不漂亮，任务都的打副本，很无聊前期，无聊到不想玩……就是这样，挺失望的

82: 3600元!充值1600元!狗屁!

83: 垃圾还没以前好玩。我玩其他的网络都好。就这个网络差的要死。垃圾游戏越来越垃圾。刚下载了。我就卸载了

84: 老是闪退  玩毛

85: 游戏不错，就是比较单调，而且360礼包不能领取

86: 端游刚公测就玩过，很好玩，手游也很不错，支持

87: 手机游戏完美的(神魔大陆),是我玩过最好的了,玩通宵的游戏

88: 为什么老闪退,下好几回了！电脑的笑傲玩了2年,手机的怎么这样子！(神魔大陆)那么大的游戏我挂一天也不掉线

89: 我提的评论为什么不上，，有那么困难吗，，大家都是张解决问题

90: 老特么闪退，刚充完钱就这样，能不能行了，别说我手机不行，手里不行我头几天是咋玩的，能不能真正的给解决下问题

91: 刚刚玩，很不错的游戏，不知道他们说的卡退，锁屏现在还没出现，，，如来神掌区，27级了，

92: 单人竞技太不公平了吧？差几十万的功还能pk就算给弱者加上功 可技能高低还不一样啊

93: 卡就不说了，锁屏问题先解决了吧！还有出铁率现在調那么低，升星更是不提了，很好的一款游戏，这么快就毁了

94: 为什么我登录账户老是显示.服务器忙请稍后再试!心塞

95: 说实在，这个武侠游戏才算真正的武侠游戏

96: 我单人竞技场咋积分礼包什么都没有了，怎么回事啊？

97: 比天龙八部好玩

98: 卡的不错，像瞬移

99: 游戏不错.顶一个

100: 各种闪退各种卡，5分钟闪两次，虽然手机不算太好，但玩一般的游戏还是很少有卡的

101: 学校渣网加本人渣手机完美运行

102: 游戏好卡啊我手机自带4G内存为什么卡啊谁知道求解

103: 安装不了，为什么？

104: 一直验证不了!

105: 力荐

106: 为什么现在爆石头率那么低，

107: 老是网络延迟

108: 垃圾

109: 刚冲了钱就登陆不了了！！！

110: 昨天玩的，开始以为画面不错。也很美，但是一下屏幕就暗了，我以为是关机了，原来这游戏还会锁屏啊

111: 老是锁屏，没看到玩的人少了吗？都排80多名了还不着急呢

112: 完美你既然搞pk游戏网络,服务器就搞好点这么卡怎么玩啊！别让几个托上来说别人手机不行,只要是玩过的都知道再不改都没人了,你们比我清楚,说实话游戏还是可以的

113: 为什么家里的wifi就可以登陆，上班的wifi就不能登陆，，，我有点纳闷了

114: 感觉还不错

115: 下了之后进去验证一直不行

116: 我用wifi一直提示网络超时，我也只能呵呵了，同样是你家的神魔大陆就玩的好好的！

117: 升星成功率再不提升，也就没人玩了。出现紫装的频率再不提高，还是没人玩。活动出现印、麟、须、壳、牙的频率还不提高，更没人玩了。完美你坑人呐，浪费精力浪费时间浪费钱！！！！！！！！！！！！！！！

118: 闪退这问题能解决么？到现在不到半个小时登了不下五次了。还继续这样只能卸载了，心塞

119: 闪退

120: 进不去服务器阿一直停更新那，有一样的没？

121: 今天为何我进不去服务器

122: 人太少了，总是自动锁屏！！！期待苹果和安卓系统平台互通！！

123: 关屏问题还解决吧，怎么挂机

124: 我很好奇说卡的豆用的是什么手机.

125: 太卡了，总闪退

126: 毛呀，黑屏，弄的手机黑屏后无法点亮屏幕，卸载游戏后还都黑屏无法点亮屏幕，荣耀畅玩4X

127: 这游戏配置高 说卡的可以换手机了

128: 没意思

129: 笑傲江湖玩的时候有些会卡退。

130: 卡 有待改善

131: 卡，都卡出血了。

132: 卡 有待改善

133: 太卡了

134: 下面的自己手机卡怪游戏吗！真好耍，手游良心巨作！

135: 垃圾游戏。任务卡在那点也点不了。。

136: 现在的笑傲真的好垃圾啊！经常自掉线，WiFi信号都是满的，用自家的网络啊。再玩几天，还是老是掉线就撤退了。垃圾

137: 为什么老是闪退！

138: 什么卡的游戏怎么玩啊,这游戏到头了,我玩几个区都没人,删了算了

139: 妈蛋，为什么好好的，突然进不了游戏了？连接服务器失败，真尼玛的垃圾客服端！

140: 游戏不错，但是太卡了，我用平板根本打不开

141: 关瓶、再设置里该

142: 挺好的,无论什么手机,什么配置保证卡,不信你玩玩看

143: 安卓5.0运行游戏直接停止运行，能解决吗？

144: 安卓5.0运行游戏就停止，快点解决吧！

145: 总的来说不错，但更新后就变的有点卡了，偶尔还会闪退，望改进

146: 本来还挺喜欢这游戏的,但越更新也垃圾，现在根本都不想玩了。

147: 买卖的东西太局限性了

148: 搞什么啊没有日常，还一直系统提示点击日常，点不了别的啦。

149: 我的手机4核处理器8G内存为什么很卡啊

150: 我的手机4核处理器内存4G
也啥很卡啊

151: 我的等几太低

152: 這遊戲還是蠻好玩的

153: 我以为我手机系统问题，这么多屏幕不能常亮

154: 我说你们什么时候解决关屏这个问题呀？

155: 垃圾乐色游戏。不充不给玩

156: 到底能不能解决啊关屏的事。这还玩个毛啊？

157: 玩不了的人就不要瞎嚷嚷了，自己手机不好还怪游戏嘛？

158: 问题能解决不？为什么老是关屏呀，挂机都没办法挂机，还咋玩呀。

159: 重下后即时语音系统不能用，输入法弹不出来还不能说话，还让人玩吗。。。

160: 怎么老自动关屏！！！

161: 闪退，以前没有过

162: 怎么老是自己休眠了！那个屏幕常亮也不好用

163: 怎么今天游戏更新了一下，更新后手机屏幕还总灭了？你这游戏设置里长亮也不好使啊！游戏技术赶快查查吧，要不没得玩了！

164: 更新后总是玩着好好的自动休眠

165: 今天上午还好好的，现在怎么登陆不了了，说无网络连接。无语

166: 更新后进不去了

167: 360帐号登录不上去了

168: 在游戏里还要下地图安装包，一个地图就70多M流量

169: 我去还3D呢，叫2D还差不多，卧虎藏龙全3D视角比这个好玩多了。

170: 我要买号

171: 公测时都不会闪退，一删档马上闪退，什么破游戏

172: 大家好  我是孤魂

173: 4G手机4.5安卓系统还老是闪退，尼玛什么破游戏！制作出来让人免费玩舍不得的话，知一声呀！

174: 除了闪退还是是闪退，别的像天龙八部，太极熊猫等等都不会闪

175: 我一颗星也不想给

176: 什么时候出，动物类的坐骑啊，这游戏，要没加速，一天走路还真费劲，呵呵，

177: 很好玩

178: 太垃圾了，果断卸载，老是死机，我玩其他游戏从来没死机过

179: 总是闪退，冲钱也白瞎了。

180: 一个字：对安卓不公平，为什么苹果系统奖励就比安卓多，亲，如果你是安卓。建议另选游戏吧！

181: 卖号、卖号、63级华山、全60金装、v8、东方不败+任我行、令狐冲、游戏玩不下去了、也不想充钱了、完美你自己自找的！

182: 卧槽，老是自动迟出什么破游戏

183: 卸载完又下载结果还要更新，我还以为重新下载就是最新的了，是我太天真了！！！！

184: 不要钱也可以玩就是不厉害

185: 不给好处就想赚钱

186: 为毛在玩时老是自动退出，求解

187: 我荣耀6更新后为什么就安装不上呢？求解，九游，老虎都能安装上，就360不行

188: 现在就是个坑，不花钱根本玩不下去了，闯关奖励没有了，什么都要买

189: 同一个新版安装包，华为荣耀3C（已root）手机可以安装，华为荣耀6plus（没root）手机安装失败，求解决。

190: 怪根本不会打

191: 无语```````````昨天到现在更新不了重装不能```````

192: 应用程序未安装。。。。。。。

193: 应用程序未安装。。。。。。。无语中啊。。。。啥时候能好

194: 为撒子登峰造极这个区怎么老是进不了哟，求解！！！！！！

195: 撒子意思，从昨天到今天一直都进不了。

196: 还好，就是土豪和屌丝的距离差距，进去了就一目了然了，

197: 更新没法玩儿了，平民玩家资源大幅减少

198: 为什么下载了就是安装不了，求解

199: 更新后在玩的过程中为什么老是自动退出呢？请解释。

200: 更新后直接拉大了土豪和屌丝的差距，本来每天还能通过闯关弄点金币，宝石，丹药什么的，现在全减少了，什么都要花钻石买，生存艰难啊

201: 好玩是好玩，只不过老是闪退，都怎么想玩了

202: 不能装啊

203: v8号，两套狂龙两套光武卖号

204: 有没有在360这下载能安装上的.可以玩的.

205: 为什么360的下载了，安装不上.

206: 还在维护中，快五点了，进不去

207: 维护多久

208: 非常好玩，有一说一

209: 下载完，安装完成不了呀!解决呀

210: 好玩，和室友一起玩的

211: 更新后，怎么安装不了啊

212: 更新后感觉如何？？？？下载中，，，，，

213: 更新安装不了。

214: 更新到几点啊现在11:33了还进不去

215: 你们上去了吗，我怎么这边来是提示更新新版本。求解。。

216: 现在正在维护吗    怎么进不去

217: 目前玩过手游里面最好玩的，没有之一！

218: 更新任莹莹就进不去了，怎么回事

219: 为什么更新不了老下载游戏啊谁知道吗

220: 玩两个月了，唐门职业变态了，不花钱是不行了

221: 玩俩月了，还行，61和尚

222: 好玩，闪退是手机不行

223: 好好玩

224: 现在玩老是延迟，到底怎么回事

225: 完美闪退货吗

226: 完美闪退

227: 礼包过期，顶

228: 好玩是好玩但是多好的网在里面都好卡

229: 游戏老是闪退！！！什么意思啊！？

230: 为什么领不了礼包

231: 卡卡卡，HTCm8

232: 礼包一个不能用，，好逗，客服给的也不能用

233: 真心不知道上边宣传视屏是什么意思，没看到游戏怎么打，反正觉得人打的不少，这是想表示什么呢？表示玩不动这游戏没什么觉得可玩的.

234: 还可以

235: 有游戏CG，还有多种招式，很强大，就是人物太丑了，听说VP7才有时装，真&#@%

236: 一个唐门一把枪秒杀一切，那还搞4个职业干嘛

237: 人物真心丑到爆好么╯▂╰郁闷

238: 只能说，哪个杂种评论的好，我劝兄弟们不要下，很坑爹

239: 不错，挺好玩的。

240: 艹蛋游戏，谁玩谁低智。

241: 艹，拿枪的最屌！这是武侠还是枪战？不如改成飞机大炮好了，精力又少，面具，沙滩那些真是能多丑有多丑，呕吐

242: 我玩过最好玩的游戏了

243: 游戏不错。60了

244: 三星8核 加3GROM  竟然卡 我去

245: 强烈要求出大型PVP地图，来20V20什么的最好了- -

246: 不错，就是后期要多多连，否则打不起

247: 总是网络超时

248: 我的饭七标准版总是提示已停止，根本用360账号就进不去，浪费流量

249: 还行

250: 垃圾游戏41级华山最少都刷了30次FB了，就是不给华山紫武，本人吸星区的，劝你们不要耍这个游戏越到后面越坑爹

251: 尼吗更新了进不去。进去了就卡出来了。还有副本太难，这游戏电脑玩可以。没wfi的就别想了。

252: 没见过设计得这么垃圾的游戏，职业不平衡，四个职业之中刷本打怪或是PK唐门枪手都大占优势，我们区的玩家个个都改玩唐门了，这尼玛干脆就设计一个职业好了，都玩唐门！没见过这么脑残策划设计！

253: 为什么登不上去

254: 真的好丑，丑到爆

255: xihuan!喜欢！画面   人物   技能   侠客   超好！特别是 竞技！好刺激！ n986的手机！流畅  快速！

256: 游戏非常不错，战斗打击很爽。说闪退手机不行。换个运行内存2G的觉得不会出现闪退问题。。。游戏玩法希望官方在天加些。

257: 本来听期盼笑傲手游公测的，但是体验之后让我彻底失望了。。让人感觉游戏总是在在慢节奏进行，后期便放弃玩了。喜欢武侠手游的玩家，简易体验天龙八部，天龙八部和它旗鼓相当同样画面精致，新增了轻功但游戏属于快节奏，玩的很爽。更加推荐卧虎藏龙，可以说是国内第一武侠手游了。比天龙和笑傲高了好几个档次，但是内存要求较大。有兴趣的玩家可以体验一下。

258: 我的酷派5951怎么就不见闪退？卡死了？其了怪了！哪个刁毛拿个烂苹果在自以为是的！国人的游戏拿国机玩就是爽！不过游戏精力实在太太少了！玩不过瘾！

259: 谁！谁！哪猪老壳哦精力过一天了升级了都不满，后面的地方精力要是越来越大!心有朦退之意了！不玩吧有搞钱了，玩吧越来越没劲了

260: 完全无法链接服务器，Wifi在线，闹3客服，能给个解决办法么

261: 这个游戏是我玩到现在觉得最好的3D网络动作游戏。好刺激。不过的确需要冲钱才能玩长久。因为升级装备的材料不好刷，靠现金元宝买别的玩家的。或买商城的。

262: 能解释下为何完美黑屏吗?

263: 人民币玩家太多  被虐怕

264: 我也醉了，玩这玩这就没兴趣了

265: 联想A820秒退，伤不起

266: 大保健在手！风云际会。邀请各位玩家入驻

267: 感觉刺客遇到唐门必死无疑！排行榜根本没刺客的地位

268: 好几年c

269: 网络延迟大：要很好的网络才可以正常玩

270: 社交功能很好玩啊

271: 喜欢

272: 觉得好就表不错，玩到现在觉得很爽！

273: 游戏不错，不过玩久了会感觉越来逅没意思，希望再多增加些新元素。

274: 不错，玩到现在觉得很爽！

275: 他妈的，服务器断开，一直闪退，闪退

276: 垃圾啊，一直上不去

277: 三星N2玩不起- -是我手机low还是...

278: 总是网络超时

279: 完美闪退，垃圾。

280: 马勒戈壁，玩毛，完美世界，屁，不停的闪退，本来想继续玩，后来一次又一次的闪退，我果断的把它卸载了，玩毛。完美世界的游戏就是闪退的游戏。玩掉世界。卸载掉，你不用再考虑了，以后不再相信完美世界，垃圾。玩毛，浪费我的时间。玩毛。

281: 感觉非常棒，要是按照新版笑傲剧情来玩就更棒了！！！

282: 老自动关机，不要说我设备烂我苹果6

283: 真心不错的游戏，很有玩的必要

284: 游戏还可以，就是现在很多骗子用喊话脚步在那喊100元=10万元宝，不停的刷频，客服也不管。

285: 给一星都觉得多，米3都能卡死，佩服啊！而且是wifi登陆

286: 好极了，玩到手软

287: 网络延迟是真的。。。但是退出出了进去的时候有可能退出一次真没再退过。。。不过我真心认为这游戏已经算是好的了。。。绑元宝可以买一切商城物品

288: 好好好好好

289: 是好玩，我都玩了十天了

290: 老是闪退怎么玩呀？而且是在有外wifi的情况下！！！能改进不？？？

291: 老是自动退出，玩毛啊

292: 不错的游戏

293: 为什么老是退啊，唉

294: 好玩是好玩   一下线在上老是闪退

295: 里面的人物太少了，也就4个，要么华山男，要么光头男，要么日月女，要么唐门女，来来回回就这4个人物，刚玩还凑合，到后来就不好了，没钱往里面砸，人物看着也腻了

296: 老是网络延迟，完全差一点的网络都没法玩

297: 好玩，不过老是自动退出，希望张进

298: 超级不错的游戏，找到玩端游的感觉了！！！！

299: 我用红米下载玩的啊，一切都很正常啊。不过要是砸钱的话，角色会更叼。

300: 要么卡，要么自动退出！我操！

