1: 为什么不出路飞老爸

2: 我7区第一

3: 妈逼，珍宝导航老闪退，打什么卡关都闪退！

4: 进不去了，链接不上去，啥意思啊？

5: 火死嗲，花嗲2千钻石抽到了呢个垃圾！

6: 好垃圾啊

7: 垃圾   幸运指针   矛抽得到一样好嘢

8: 哇塞今天运气实在是太棒了2700钻请十次明哥直接请出来33左右的碎片2700钻花的真是太直了~

9: 太好玩了，就是我的金币，战斗力有点少

10: 充钱玩的几天飞升，不充钱的几年都玩不好

11: 很好啊，这个游戏O(∩_∩)O

12: 签到人物终于不在全是娜美了

13: 快点啊，奇遇要结束了

14: 感觉还行，就是有些小问题，玩玩的就让重新登陆，还有现在的押注

15: 谁给解决啊，押注不可以选择额碎片

16: 怎么押注啊，碎片全是暗色，不能选啊

17: 太他妈坑爹了21000多个砖石，转了一堆破烂回来，真他妈坑人幸运转转转，改名叫坑爹转转转好了

18: 好好好

19: 这回南瓜的活动还不错开出来几次888~

20: 这回南瓜的活动还不错开出来几次88~

21: 路奇礼包竟然不出真是对你太失望了！

22: 为啥360的航海王启航活动那么少啊……

23: 万圣节活动太特么好了，我开了6个888钻，谁托谁王八。

24: 坑爹的，路飞是主角才A，现在的路飞和他的伙伴都很厉害了，可在这游戏还是很垃圾

25: 加不拉礼包出完给我出路奇礼包CP9的礼包就差路奇一个没出了！

26: 哈哈，那什么礼包，开出好多钻！

27: 尼玛  闪退   快更新

28: 卡库礼包出完给我出路奇礼包！

29: 这游戏越来越变态了！要不是花了很多钻了！早他妈不玩了！恶心死了！给你吗星！一颗都不给！干

30: 我的钻石怎么会无缘无故的不见了那么多啊！坑啊！

31: 为什么更新后安装失败了

32: 纯烧钱

33: 为啥我赢了显示失败了啊

34: 安装不了乐

35: 为啥更新之后安装不上去，求解答

36: 我花那么多人民币，花那么长时间升级 最后还给我停服，真坑。

37: 为啥更新之后安装不上去了

38: 游戏虽然很好玩，但是建议把通缉帮改一下，改成分等级的。我才67级，你给我匹配一个80-90级的我玩毛线啊？

39: 小号2700钻石开中一觉罗 大号9000钻石才中11个

40: 有很多海贼迷玩这个游戏罗的碎片为什么一定要花钱肯定也有人喜欢罗是因为喜欢才想要的就不能白给一个吗非得要花人民币才能得吗！你白给一个不行吗！

41: 花了一千三百钻罗的碎片一个都没得着连个专属都没得着开南瓜就开出一次 888剩下的全是糖果这破游戏你就坑人去吧你就骗钱去吧真是一星都不想给！

42: 新手克克里克有必要培养出来吗

43: 三星S6完美运行

44: 真是够了，今天一更新连游戏都进不去了

45: 我的历史纪录怎么没有了，你不是玩我们了吧！

46: 什么时侯开新服？？？

47: 永远都是安装失败，我服了！！

48: 闪退～太帅了

49: 为什么还没有代金券啊

50: 360你能勤快点吗？这样不好，还不更新，以后还谁敢玩360的游戏啊

51: 为什么到现在还不行呀

52: 官网上下的怎么能用360登录，不会要重新练吧

53: 在哪能直接下到最新的版本啊

54: 三点过了还在更新……

55: 客服你他吗真够了！

56: 为啥进不去？然后官方微信公众号也没有了历史记录。怎么啦？

57: 安装不了？

58: 说好的两点呢

59: 等好久都进不去！！！怎么搞的嘛！

60: 14点了啊   快点开 啊

61: 现在能进没有呀？？已经14点了，还进不去！！！

62: 不是说14点吗，为什么还进不去，还在更新?

63: S6e路过，没有闪退过，真不知道那些闪退的怎么玩的

64: 到时间了，怎么就是进不去

65: 到现在了我还没进去

66: 说好的2点呢?

67: 为什么还进不去

68: 到底几点开？

69: 赔偿啊 赔偿啊 赔偿啊

70: 今天更新到底是怎么了一下载完就是文件校检失败重新下载现在两点都已经过了也已经下好几遍了也已经卸了重新安了这么更下去一年都更不完都已经错过120体力了！

71: 延时一小时，公告了

72: 三点才开，改时间了

73: 艹你大爷的2点还不能进啊

74: 两点多了，还进不去，客服求解

75: 怎么还进不去?

76: 两点十五了。

77: 为啥更新了，两点了还进不去。。

78: 2两点都过了，怎么进不去呀？

79: 怎么还进不了，2点多了

80: 进不去进不去→_→什么情况，等一天了

81: 进不去呀，求解释

82: 几点了？？2点多了。草

83: 为什么更新了进不去啊，两点过了呀

84: 更新了，2点06了还是进不去！！！

85: 已经两点了！！！！！还进不了！！！

86: 两点过了还进不去

87: 2点了还是不给进啊

88: 2点才能今进

89: 更新后为啥安装不了！老是安装失败！求解

90: 为什么这次更新完以后一直初始化？？？

91: 更新了后登录游戏进不去啊？？？？

92: 更新了安装不了

93: 什么时候开新区，想从新玩。半年没玩了

94: 好好好好好好

95: 求名人榜的达成条件

96: 在手机助手领的礼包没法用啊

97: 最近海底监狱第三座塔不对啊，之前8.7w能打到第六层。现在更新后，我都9.2w战斗力总死在第三层。客服不解决一下吗！

98: 土豪的游戏，穷人的悲剧！

99: 好玩太好玩了

100: 29号更新之后敢不敢白给一个布鲁克！

101: 为什么还不出代金券啊  客服解释一下啊  还等着充钱呢 没代金券真心充不起啊

102: 对了最版本尼玛秋一口水团灭玩毛线

103: 什么时候开324区

104: 客服尼瑪幣，是不是吃屎了，今天他媽的刷圖沒有1百也有50了，你媽的每次都是到最后掉線(╰_╯)#(╰_╯)#(╰_╯)#(╰_╯)#

105: 客服尼瑪幣，我刷圖刷幾把掉幾把，你TM是不是吃屎了，都尼瑪要通關了，又掉了，是不是日狗了？

106: 客服，你媽的，我的用的白銀之征跑哪去了？通緝榜也沒有，被你吃了？

107: 大家一定要培养阿秋啊…他太特么牛逼了…这个版本…杰克斯…赤犬神马的都是小擦擦…不信你就试试…

108: 都别玩这游戏…

109: 尼玛币的

110: 360怎么没有航海王启航的代金券了啊，强烈要求上航海王代金券

111: 没有登陆礼包…其他版本都有…连腾讯都有…360这次输给了腾讯了…

112: 强烈建议把阿秋削弱…

