1: 不好玩

2: 为什么我打不开，一点进去就显示停止运行

3: 这个游戏要网吗？

4: 三星S5闪退……连个画面都见不到。我是在卸载前来评论下的！

5: 魅族note2完美闪退

6: 进去以后就什么也点不了

7: 港版三星note打不开，显示停止运行。请问什么时候再更新修复一下？很想玩这个游戏。

8: 根本进不去。

9: 根本就打不开…一点就是已停止………

10: 老闪退！每点一关，就闪退！还扣心！

11: 天呐

12: 垃圾，不能玩，怎么回事!!!!!!

13: 垃圾   ！！！！   进不去！！！！

14: 你们也进不去，我也进不去

15: 十分支持花少，花少这个手游太烂了！！！进不去。不是说6月29号更新吗？怎么他妈的进不去！！！怎么回事！！！

16: 根本无法安装

17: 我是nubiaZ7安卓5.0系统的，安装了，没办法玩，直接闪退

18: 更新啦，试试新版，3D的视觉不错。

19: 还要等八分钟才能弄到体力

20: 谁有兑换码

21: 进不去

22: 一点都不好玩，下载完了，都进不去

23: 三星s5根本进不去什么破游戏很期待的说！

24: HTC T528t手机进不去

25: 神马破游戏，根本进不去，都玩不了，一星都不给。

26: 还是第一季的好玩

27: 浪费本尊流量，进不去，气死了!!!!!

28: 什么时候更新

29: 刚玩就要花钱，气死我了！

30: 抄袭别人垃圾游戏   直接卸载

31: 满怀期待，结果真的进不去！太失望了！！！

32: 打不开

33: 怎么也进不去！！！

34: 花儿与少年粉丝，赞赞赞！！！

35: 非常不错的游戏，喜欢花儿与少年，赞一个。

36: 我用的是小米NOTE没见进不了去的情况啊，游戏还不错，值得一玩

37: 的确打不开

38: 愁死了，之前一直都完美运行，也通关了，今天想进去玩玩就怎么都进不去了，卸载了重装都还是不行

39: 超级好玩，力荐。好想要礼包，别说进不去，自己手机渣。

40: 安卓5.0闪退，提示停止运行！三星Note3（N9002）

41: 游戏进去以后红心没有了，恢复也太慢了吧，一晚上一颗心都没有，客服赶紧看看怎么回事，三星手机

42: 抄袭保卫萝卜！！！！！！

43: 进不去！这个游戏坑人，我下了10遍都进不去！气死我了！！！！

44: 妈的第一关就过不了，卸载

45: 安卓5.0闪退！

46: 根本就进不去，没用

47: 进不去啊

48: 打不开，中兴s291

49: 点play，但是怎么领礼包？

50: 可以玩，但却是模仿保卫萝卜！不好！

51: 打不开啊╭(°A°`)╮

52: 进不去呀

53: 为什么游戏点不进去

54: 为什么进不去？！

55: 怎么玩不了

56: 怎么没有第三个本子啦，

57: 通关了。。。。so easy~~~~

58: 只要升级就能过第二站十七关，不信有你。

59: 这个甭提有多好玩。

60: 游戏的背景音乐是什么
歌

