1: 我艹尼麻麻的   怎麽老是弹出去的

2: 很好的游戏

3: 什么时候能玩啊…给个解释？

4: 什么烂游戏，我等了3天还是他妈的更新失败，尼玛给我个理由解释，一更新就来个网络异常，老异常尼玛个比！

5: 怎么老是网络异常～

6: 为什么上不去了

7: v6怎么领不了福利

8: 29区怎么进不去了，求解

9: 今天怎么回事，游戏一直进不去

10: ！！！真的真的烦！两个角色就算了，登入要登入半天还可能登入不上4g的网络！！！

11: 进不去  卧槽  我里面还有时装呢  这游戏真够烂的

12: 纯粹浪费流量

13: 什么破游戏，上不去

14: 你们谁登录上去了

15: 你们现在能上去吗，我怎么老提示断开

16: 游戏更新又没得玩了，没晓得那么臭…

17: 为什么不让上了，就现在

18: 充钱以后就上不去了

19: 什么破游戏，进去打四五分钟就闪退简直一星都不想给

20: 刚能玩两天，又不能登录了，老是网络异常，大哥你们能不能搞好点

21: 还行吧，就是有点单调，刷屏太厉害，没人聊天

22: 登不进一直网络异常

23: 这个游戏很好玩，就是老是网络异常。

24: 我喜欢这个游戏！

25: 我是红米1s的手机，玩这个游戏一点都不卡。我手机才几百，不知道你们说卡，和玩不了的是怎么回事？

26: 这是啥子情况？难道真是我手机问题？尼玛，进入三次连怪都还没有打完就闪退…真心不知道该说游戏的错还是我手机问题

27: 不好玩大家玩龙与精灵吧

28: 从没玩过，好玩吗？

29: 我wifi满格      它网络异常  请检查网络

30: 什么时候开29区

31: 为什么进去之后闪退

32: 好玩吗

33: 杠杠的

34: 我下载了，怎么看不见区

35: 进不去，新买的手机，两百多MB的游戏都很畅通，就这个游戏玩不了，呵呵呵，我是垃圾手机吗？

36: 垃圾游戏玩一关就闪退，玩了两关果断卸载

37: 真几把难，5级就打不过小兵了，不充钱别想玩

38: 炼狱中碎片有什么用？？？？？？

39: 操，什么狗屁玩意，进不去

40: 操蛋！花了钱居然反馈的问题没人搭理了

41: 新版本怎么任务完成后经验不上涨

42: 大家好！我昨天试了必须把原来的卸载掉。然后再下载重新安装才能进去！但必须知道自己的登录账号和密码！还有自己玩的是那个线区的！如果不知道那个区的！可以每个区切换下就找到了！

43: 挺好的游戏，眼看要废了，怎么更新成这样呢，上不去

44: 现在还登陆不上去，不让玩了？

45: 到现在都登录不上去，怎么回事啊

46: 垃圾游戏，更新后老是闪退

47: 我更新了，会闪退，机型:联想a3800d，望处理好，不然不太好

48: 谁登录上去了，说一声

49: 现在谁能登录上去啊

50: 艹尼玛！让老子更新更新后原先的登录不上，什么鸡巴玩意，本来玩着还不错呢！结果给我出一这个玩意，垃圾

51: 说什么网路有问题  傻逼游戏

52: 大神请指教，怎么下载最新客户端

53: 要到下午两点以后才能上，你们不看提示啊

54: 更新后进不去了

55: 草！啥破游戏啊？进都进不去！说啥客户端低，要到对应的渠道下！

56: 玩下，再评论

57: 我重新下载一遍就是为了评论一下，这游戏就是个垃圾。根本进不去，垃圾死了。千万别玩

58: 联通3G都玩不起来，你还能更垃圾一点吗？？

59: 登一次就登不上了

60: 这是个好游戏啊！不充钱的时候还好，一充钱登录不了了，我有一种想哭的冲动，妈的被这帮骗子给耍了！:'(:'(:'(

61: 垃圾游戏 还好没充钱  第一天可以玩  第二天就玩不了登陆不了

62: 这是个盗版的垃圾游戏，大家不要玩这个了，去玩西游降魔篇3D，不仅剧情是原来的，画面还更好

63: 艹，，，卵蛋游戏，，登陆都不能

64: 破游戏，登都登不进去。

65: 我擦，为毛登不上去

66: 登不上去 显示登录成功 就是上不去

67: 第一次可以登陆第二次就不行了

68: 傻逼游戏登不进去千万别下

69: 什么游戏，登不上进去，狗比游戏

70: 我已经发现好几次登不进去了，客服也没人理，唉！！！！

71: 什么卵鬼，下载半天安装打开，说有851资源更新，点更新就跳出网络异常，闪退，差评。

72: 进游戏后说检测到要更新，然后点更新后就说网络异常。这个怎么弄？

73: 好玩，就是角色太少，内容有点单调，但是挺有挑战性的

74: 一个网游跟单机一样的，装备不能买卖，不能组队刷图，同等级的图根本打不过，Low逼

75: 挺好的，没你们说的那么差

76: 草泥马谁说不好玩，就回去看你爸妈玩！！！

77: 卧槽提示更新就网络异常然后闪退狗比游戏

78: 外挂满天飞 决斗没等动呢 人家跑过来就把我打死了

79: 太垃圾了，进都进不去，直接闪屏，我换手机进去后，里面多数都要付钱，简直是烂游戏，歪的很，大家千万不要下，下了会后悔的

80: 提示更新 然后显示网络异常

81: 我靠，这踏马什么游戏，登又登不上，登上去了还没反应，点踏马多久，等踏马多久。靠

82: 老是登陆不上

83: 就玩到30级，玩的特么的累，没V没法玩

84: 提示更新，然后闪退

85: 老是卡出来

86: 还可以，礼包多点，同批次的都领不了，不怎么坑钱，冲一两百算是大神了。

87: 不好玩 没劲

88: 一个垃圾游戏

89: 经书功能点了游戏就无响应求解

90: 掉线了怎么办了，疑惑了

91: 好哦

92: 服务器特么有问题，原先我还以为是我手机有问题

93: 一运行就提示更新350k,点确定就连接错误3，一星都不想给

94: 礼包太少了！

95: 你们就不能给点鼓励吗==

96: 垃圾游戏，，慎重下载

97: 太垃圾了，玩着玩着就卡死了。系统太烂了

98: 什么垃圾游戏艹了，移动网络根本登不上去，4G满格也不行，SB游戏

99: 怎么有时候登录！360账号半天不出来！！求解决！点登录没反应！！怎么进游戏

100: 尼玛这个游戏不冲钱根本玩不了

101: 怎么游戏里面的多人试炼和斗神台斗不可以玩啊？？？

102: 十连抽紫将呢    什么垃圾游戏    充的小钱就当喂狗了！

103: 二万的下载，就不要骗人了！！！托

104: 超赞！五颗星！

105: 这游戏，我都登不上去，刚要登上去，我就退了，:-(，是老天不让我玩啊！！！！！~~~(>_<)~~~

106: 砸招牌

107: 赞！

108: 居然真的可以七人战队。。。

109: 不错，魅族mx3测试可用

110: 没有广告 简单实用

111: 界面简洁实用

112: 太好了非常喜欢！

113: Great Job!

114: 很棒诶，。。。。

115: nice~

116: 好玩，就是界面一般。

117: 不错，挺好看

118: 界面简洁实用

119: 好玩的东东!

120: 我居然天赋异禀。。。

121: 很棒诶，。。。。

122: 特别可爱好玩，操作超简洁

123: 不错，非常好玩的app

124: 不错，休闲时间玩一下。

125: 不错，挺好玩的

126: 非常好玩

127: 加入我们的战队吧，少年们！

128: 很好啊功能挺强大的

129: 非常不错且实用的软件

130: 不错，挺好玩的

131: 好评！不错！

132: 界面简洁实用

133: 战斗模式不错，虽然感觉像盗版一样-。-

134: 比其他多了很多功能

135: 放眼评论，托声依旧。

136: 非常不错且实用的软件

137: 好可爱的萌妹纸~小眯眯眼

138: 我女朋友好喜欢玩

139: 好玩！

140: 真心很实用，没有花哨的界面

141: 很好玩

142: 居然真的可以七人战队。。。

143: 好评！楼下保持队形！

144: 难得的优秀的app，真心赞！

145: Q妹纸~好可爱的呀

146: 加入我们的战队吧，少年们！

147: 还可以吧！

148: 很好很强大，

149: 好！

150: 好玩有趣

151: 总体还行！挺喜欢的。

152: 打发时间的利器，蛮不错的app。

153: 不错实用。。

154: 蛮好的～

155: 不错实用。。

156: Q妹纸~好可爱的呀

157: Q妹纸~好可爱的呀

158: 不错，下载的第一款，就中意上它了，无广告，好！

159: 好评！不错！

160: 挺好的=。=

161: 还可以吧，没有群里说的夸张

162: 不错，下载的第一款，就中意上它了，无广告，好！

163: 蛮好的～

164: 不错，下载的第一款，就中意上它了，无广告，好！

165: 好软件!!

166: 不错实用。。

167: Great Job!

168: 无法连接服务器    狗屁玩意  劳资是无线网好么

169: 还可以吧！

170: 不错，下载的第一款，就中意上它了，无广告，好！

171: 比其他多了很多功能

172: 还可以吧，没有群里说的夸张

173: 不错，下载的第一款，就中意上它了，无广告，好！

174: 非常好的app

175: 很好很强大，

176: 非常不错且实用的软件

177: Great Job!

178: 非常好玩

179: 居然真的可以七人战队。。。

180: 不错，魅族mx3测试可用

181: 真心喜欢，好玩有趣！

182: 没有广告 简单实用

183: 顶我开发的哈哈哈哈

184: 不错，非常好玩的app

185: 特别可爱好玩，操作超简洁

186: 赞！

187: 居然真的可以七人战队。。。

188: 真心很实用，没有花哨的界面

189: 刚下，好像蛮好玩得，嘻嘻

190: 不错，挺好玩的

191: 这个内容一般般吧，但算是不错了！

192: 好评！楼下保持队形！

193: 不错实用。。

194: 好玩，就是界面一般。

195: 不错。赞一个

196: 算不错了，少年们，要求不要太高！

197: 好玩！

198: 很好啊功能挺强大的

199: 沙发！好玩极了！

200: nice， 超级好玩的应用。虽然有些问题，但总的来说不错啦啦啦。

201: 不错。赞一个

202: 打发时间的利器，蛮不错的app。

203: 草泥马整个礼包还要VIP5才能领取尼玛币的老子不玩你这破逼游戏

204: 一般 换个马甲的游戏又是

205: 礼包兑换不了。游戏里的兑换码点不开

206: 总体还行！挺喜欢的。

207: nice~

208: 很好玩

209: 不错哈哈哈哈哈

210: 太好了非常喜欢！

211: 加入我们的战队吧，少年们！

212: 这个内容一般般吧，但算是不错了！

213: 居然真的可以七人战队。。。

214: 不错，休闲时间玩一下。

215: 好玩有趣

216: 好玩的东东!

217: 好！

218: 界面简洁实用

219: 我居然天赋异禀。。。

220: 太赞了，内容不错呀~

221: 这个内容一般般吧，但算是不错

222: 不错哈哈哈哈哈

223: 难得的优秀的app，真心赞！

224: 太好了非常喜欢！

225: nice~

226: 真心喜欢，好玩有趣！

227: 我女朋友好喜欢玩

228: 不错，非常好玩的app

229: 特别可爱好玩，操作超简洁

230: 很好啊功能挺强大的

231: nice~

232: 很好很强大，

233: 很棒诶，。。。。

234: 没有广告 简单实用

235: 不错。赞一个

236: 好玩，就是界面一般。

237: 特别可爱好玩，操作超简洁

238: 好！

239: 好玩的东东!

240: 战斗模式不错，虽然感觉像盗版一样-。-

241: Q妹纸~好可爱的呀

242: 这个内容一般般吧，但算是不错了！

243: 好可爱的萌妹纸~小眯眯眼

244: 加入我们的战队吧，少年们！

245: 好评！楼下保持队形！

246: 很棒诶，。。。。

247: 还可以吧，没有群里说的夸张

248: 我居然天赋异禀。。。

249: nice， 超级好玩的应用。虽然有些问题，但总的来说不错啦啦啦。

250: 太赞了，内容不错呀~

251: 不错，挺好看

252: 很好玩

253: 赞！

254: 非常好的app

255: 非常好玩

256: 好玩有趣

257: 刚下，好像蛮好玩得，嘻嘻

258: 界面简洁实用

259: 挺好的=。=

260: 不错，挺好玩的

261: 算不错了，少年们，要求不要太高！

262: 居然真的可以七人战队。。。

263: 不错，魅族mx3测试可用

264: 不错，休闲时间玩一下。

265: 蛮好的～

266: 好软件!!

267: Great Job!

268: 非常不错且实用的软件

269: 好评！不错！

270: 还可以吧！

271: 沙发！好玩极了！

272: 比其他多了很多功能

273: 顶我开发的哈哈哈哈

274: 真心很实用，没有花哨的界面

275: 不错实用。。

276: 打发时间的利器，蛮不错的app。

277: 这个内容一般般吧，但算是不错

278: 好评！楼下保持队形！

279: 这个app不错！

280: 很棒诶，。。。。

281: 有谁知道11区了!38级呀，咋回事噢！

