1: 都进不去无线网自己网下载7.2m文件总是提示网络连接失败，我在路由器旁边都不行

2: 客服，怎么现在进不去了，老是显示:文件错误，请重试！

3: 垃圾破游戏封号几天不让玩

4: 是网游么？

5: 客服，精英怎么开启，现在没任务了，根本升不了级了。28级的任务跟本做不了，27级初的我，怎么玩啊

6: 精英副本怎么开启，谁能告诉我啊

7: 今天被封的多吗？上午还好好的晚上一登就封号了什么破游戏啊！

8: 我就不说了。我不是热血狂，只是喜欢这类游戏。平时玩玩，从不冲级刷会员什么的。才三十几级，今天说我开外挂封号，我尼玛真是无语了，这类破手游戏还用开外挂？？？？真以为自己的游戏团队多牛逼啊。傻叉么，我都不知道我什么时候开挂的，，还封号，直接卸载了，这类破游戏建议大家不要玩，更不要下，我不是什么水军，只是第一次玩这么让人这么窝火的游戏

9: 为什么封号啊

10: 安卓29服第一公会会长被封，真尼玛乱来，好好查 快点解封。

11: 为什么封我帐号V10也封，安卓29服战斗力第一的也封，外挂不处理，bug无数，好好的玩家被封，对此游戏无语了，除了pk场有点乐趣，其他毫无乐趣。pk场再不弄好一定黄的更快。

12: 客服，请问怎么更新的时候一直都是更新到一半就说网络不好，就断了

13: 刚刚下载的！要更新！居然更新不了！干净利索的把你卸载了！本来不想给你评星的！居然发不出去！

14: 为什么闪退登录

15: 这种破游戏也拿来做网游

16: 放技能时卡顿，在打第二章第三关时闪退！希望游戏优化这些问题。

17: 怎么没有自动挂机阿？

18: 为什么老是卡，怪多也卡，发技能也卡，酷派y75。下载你的游戏我要40秒，要是卸载的话只需2秒，希望你们能尽快解决

19: 酷派y75每次打怪发技能时就被卡的闪退，还能不能让我们愉快的玩了

20: 跟着任务提示，打到第三个副本，掉了四次，太垃圾

21: 就是不能组队去打怪，一个人太孤单了

22: 游戏都进不去，无论是Wifi还是数据都显示什么“更新失败………”垃圾

23: 垃圾游戏闪退。。还卡了。。我的手机是乐视1

24: 什么屁游戏…玩好好的卡任务…现在又把我号封了…什么意思啊…V6好好的就被封了…果断卸载

25: 为什么我领的礼包只能兑换一个，在兑换其他礼包就是提示以领取过礼包

26: 杀了日本鬼子杀!。

27: 闪退

28: 汉奸游戏

29: 为什么更新失败啊

30: 是不是只有我一个人玩的时候经常出现网络连接超时然后闪退啊

31: 装备碎片打多了怎么处理

32: 这游戏要求配置有点高呀=_=看来手机不好的就玩不了，，可怜我这山寨手机呀，想玩，玩不到，，只能看封面过过瘾

33: 山寨手机玩不了，，，，，，，，，，，，哥我不玩了，，一战斗就卡出来=_=

34: 求解释，为毛卡在一任务上几天，重复一段对话

35: 怎么有关任务一直卡在那个上面？一直重复那段对话？什么情况？求解

36: 你们能弄一个转职之类的可以不，形态老是一成不变的，玩久了一点意思都没有，而且转职选择可以多一点哈

37: 现在玩的游戏就是在比玩钱，没钱？那好你就蹲在远远的角落那画圈圈一下还有点意思

38: 你不知道苹果手机有好多游戏7440玩不了的

39: 我手机运存3G，不管玩什么大型游戏都不闪退。

40: 垃圾游戏进不去啊，说手机配置低？苹果4低你妈！

41: 啥东西，连打都打不开。田钰儿打电话和我说是她哥说这游戏好，她才信的。她也下了说这游戏就是付费榜第一，死要钱。

42: 之前我是在百毒手机助手里面下载的这个游戏，后来换成了360手机助手，我个人喜欢这个游戏，不过刚玩了不到十分钟，时空猎人那个游戏我都玩恶心了，再也不去看了，反正我喜欢这个游戏，不过刚玩了不到十分钟呢

43: 我特么看不下去了，第一，画面实在渣，第二，尼玛移动按的不是摇杆，第三，小学生剧情，我已无力吐槽，大家不要下

44: 妈蛋30秒闪一次30秒闪一次

45: 第一，闪退！第二，右键返回不能退出游戏～反而重启游戏！第三，金币都不够！更别说元宝了，土豪玩的游戏～

46: 操了！闪退～妈蛋！玩屁啊

47: 尼玛，经常闪退，坚决卸载

48: 再见了1服的兄弟们，我是贫民玩家50级80万战力VIP3，特别是更新后太烧钱了，不用钱没法玩，闪退不是手机的问题，我三星全是高端型号的，和小米顶配版，安卓模拟器都玩过，闪退是游戏软件的问题

49: 垃圾，什么格斗啊？根本不需要过多操作，装备好的你永远也打不赢他，不要说你是操作帝，战力不够累死你也打不赢，一条直线刷图PK根本不能上下走位躲避连P，没有公共交易系统，没有组队系统，动不动都要钱。加好友也麻烦，要什么id他妈的我都不知道自己的id加个好友都麻烦

50: 我特么想问你这最低配置是多少

51: 垃圾游戏

52: 你妈得，这逼乱游戏，闪退得怕，妈的，什么逼东东，一般网速是你发玩，除非是光纤，给一星都闲duo，艹

53: 渣渣游戏  还有与网络不符的  真不知道是什么渣渣  渣渣呀！ 渣子中的渣子？

54: 什么垃圾游戏！

55: 要是能投负五颗星我会投的，卸载好多次重新下载还是1.2版的，介绍的是1.3版的，坑人吧360。

56: 呵呵   我看着一个小游戏  没多少注意力吧

57: 垃圾游戏，退出都不能退，翻牌子都是设计好的，技能根本不能看

58: 现在能否下载1.3版了

59: 我的卸载后又下载的，怎么还是进不去，是1.3版本的

60: 妈的创建角色连续出3次服务连接超时 第4次终于进来了

61: 试炼塔的计算是每五层为一个计算单位，也就是说你打到28层不打了出来，系统只能给你算25层，你在进去打就是从26开始打，不会算到28的.

62: 阿修罗之眼1.3版本更新，现在手机上把原有的游戏卸载掉，在从360手机助手里下载阿修罗之眼游戏，下载好打开就自动更新为1.3版本。

63: 精英退关后闪退

64: 精英通关后闪退是怎么回事

65: 符石掉率调的太低了，只能打生命符石，和防御符石了

66: 新版本考试闪退阿

67: 垃圾游戏不能退出  点退出老是重新登陆

68: 先把原来的卸载，再从新下载就是1.3版本了，pk难了，物品贵了

69: 先更新360，再下游戏。不过我下完了，还是不能上。老说网络是否连接。老子本来就连着呢。无语

70: 下了1,3版本，进去傻眼了原来玩的角色没了。辛辛苦苦玩了1个多月，冲了会员，13000元宝升级没了。要个说法。

71: 特么在哪更新！！！

72: 公司在请专业产科医生准备接生修罗之眼1.3版本，各位准备好看钱啊！！！

73: 的确，官方群，显得很不正规，管理员问题，怎么更新呢，咋没说法呢，一个小游戏，估计没人太会关注吧

74: 什么情况啊？怎么搞的。1.3版本在哪啊。

75: 什么时候更新啊  这都两天了

76: 1.3在哪下啊

77: 没有1.3版呐！！！

78: 本来还觉得 只要研究能无限连招 挺不错的 结果现在改的都不能连招尤其是去PK场 以前战斗力查个二十万左右还能有机会赢 现在差五万以上基本就打不赢 没心情玩了 打个BOSS都费劲

79: 为什么不能更新，求说法，卸载好几次重新下载还是1.2版的上面介绍是1.3版的，要求给个说法

80: 我都删除了重新下载的1.3…还是不能进游戏？？？给说法

81: 不能更新啊！新版本下载后要重新来过，之前的帐号无法登录，这是要吧把自己玩死的节奏啊！！！

82: 不能更新啊，什么情况。

83: 无法更新，晕死，

84: 怎么更新啊

85: 怎么跟新1.3版本哦 怎么跟新1.3版本哦 怎么跟新1.3版本哦

86: 日哟。。怎么更新

87: 谁给说下怎更新1.3的版本谢谢

88: 什么时候新版本360更新啊！等着玩呢？

89: 晕，，，，更新不了

90: 更新之前四颗星，更新之后负五颗星。这游戏真的很难玩下去了。日了狗了。老玩家告诉你:不充钱，别想玩的高兴，这是实话。

91: 为啥不给更新？

92: 怎么回事怎么突然玩不了了？？？？？

93: 她妈的什么破游戏真心不玩了

94: 垃圾游戏，浪费时间～不好耍

95: 版本不对呀

96: 没更新提示啊

97: 什么情况，介绍1.3的版本下载还是1.2的……………

98: 应这个是什么号的

99: 太过单调，应该能增加一些活动副本什么的，现在太过单一，容易审美疲劳，还有技能，可以多加几个，技能栏也可以更改一下，三个技能太少了。时间长了游戏就没意思了，每天重复的做那些任务。

100: 好玩我绝不是拖真心好玩不能玩的是手机差赞我在22区文灬少来找我哈

101: 游戏很好，就是老闪退，望改进！

102: 支持国产扌置日货

103: 垃圾游戏

104: 我操你妈！！！老子不过在你们群里说了几句不好听的话。你们群里的管理员就把老子给踢了。有个sb管理员就会有个sb游戏！！老子不玩了！死垃圾游戏操你全家！

105: 我日，下了玩不了

106: 二十二服务器有活人没

107: 其实游戏不算太差，但是尼玛要不要这么坑钱，你确定这不是腾讯的游戏吗？充钱和不充钱的战力差的要不要这么大，不充钱真的有玩不下去的感觉。

108: 日你妈的，全是他妈任务。

109: 为什么说更新失败，很喜欢这游戏的说

110: 不错,很好玩!

111: 特马，登不上，跟新失败，大家不要下

112: 太他妈垃圾了

113: 登不了

114: 擦你吗，这就是垃圾，全是任务，进去啥也不能干就是系统控制的做任务，里面的怪一碰就是，怪打你半天打不死，有的怪更本就不打你！！！太尼玛垃圾了！！

115: 手机的。你以为是电脑？？

116: 貌似越到后面越没劲了   都快审美疲劳了

117: 垃圾呀

118: 更新失败，请重试，什么原因！

119: 我你妈的看闪退还玩个毛

120: 我vlp29,每天收我20人民币

121: 垃圾游戏     老闪退    也不好玩

122: 跨服匹配太夸张，相差那么远也能打，垃圾

123: 大家别玩啦！我是11服的费沉鱼！我想告诉大家，这是垃圾游戏！坑钱的游戏！我是VIP13，我决定退出！！

124: 更新失败，请重试！

125: 好玩是好玩，就是老闪退

126: 可以

127: 多搞点职业吧

128: 为什么总是更新失败，什么原因？

129: 妈逼的这个游戏太不好了，老闪退

130: 有点卡

131: 我想问一下魂塔试炼的排行是怎么计算的？角色36级打到29关通关，为什么排行榜上面显示是28关，还有就算按28关计算排行，那为什么角色级别比我高的同样的通关级别排行榜为什么比我高！我就是想问一下，排行榜是怎么计算的？

132: 本人用的是酷比魔方 是最早的那个型号  玩起来还可以 刷任务的时候 没有出现过任务怪刷不动的情况 还有一点好处就是装备不用转移 新装备装备上就可以继承原来装备强化和石头

133: 什么时候开20区

