no.	id	content
1	流浪的猫。	能再难看点吗！！这是神马特效！！负分滚粗！！真不知道现在的00后90后甚至80后天天抱着手机看这种脑残剧干什么！！！三观！
2	阿不懂	这世上好小说千千万，我不懂你们怎么就喜欢找初中生写的文拍。当然！我得说预告还是可以的，至少特效没那么五毛，就是英文版简直逗，很想看看外国观众当时的反应。那个什么杀叉叉念那个什么”屠你满门杀天下人”的时候，我想了想还是吐了(*?ω?)?╰ひ╯
3	肥肥仙人掌*	仙人一般的白子画哟，一出场就给人修房子当木工，庆祝完生辰留下银子走人，仙仙的人哟，成了知心大哥哥。
4	人白白做	"特效我给1毛。
眼珠被戳瞎。"
5	难堪	什么时候豆瓣逼格这么高了，竟容不下一部国产电视剧！
6	Mithrandir	电视剧开始，女主第一句话出口，决定弃。尼玛对白台词跟幼儿园小朋友的比不多，连语调都如出一辙
7	土国全安	被闺蜜拉着看了一集，特效三毛钱不能再多了，霍建华飞起来时肚子好大腿好短，太惊悚了。。。。赵丽颖还不错，但整出剧好羞耻，还是拜拜了您呢
8	荒唐的爪哇国	为了华哥的美貌先打五星！五毛特效已经不在意了！看脸！！
9	这个夏天不太冷	一毛钱特效，两毛钱演技，三毛钱剧本，投资全买狗血洒了。ps、所有古装偶像剧用的都是一套台词么。
10	徐李夫人	没看过小说 可以看 因为我爱霍建华 也挺待见赵丽颖的 演技不错又肉嘟嘟的挺可爱的
11	Olivia	霍建华的颜和演技实在欣赏不能，有他在都没法好好看剧，一星给赵丽颖小白的颜
12	林林总总	烂哭了！！！腾云驾雾的霍建华跟个大脸的白胖子，这是天上的厨师下凡了？剧情没逻辑！！特效渣到爆！！配音嘴型对不上！！白子画彻底砸了。。。
13	猫耶耶儿	特效烂，剧情烂，表演烂，配音烂。尤其是霍建华的白子画，怎么没精打采的，脸像肿了一样，这么重要的角色拖后腿了。2015最新烂剧出炉，浪费我生命两小时的脑残狗血玛丽苏，珍爱生命，远离吧。
14	寻常饮水	这么多人剧都没出来就刷低分真是醉了。先留5分中和。.....剧一出来霍建华真特么好仙！除他之外再无白子画！威严存于眉间，柔情藏于眼波，仙人之姿，欲说还休，演技出乎意料地棒。这部剧虽有瑕疵，但总体是仙侠剧中很棒了，不能用正剧标准评判。我错了，剧情太难看........
15	张无情	强烈建议广电加大审查力度。
16	Danparo	1.这特么是电视剧？这是PPT吧？剪辑什么鬼？本身的问题还是电视台的问题？2.霍建华白子画差一点，就是介于徐长卿和白子画之间的那个感觉。3.一开始白子画戳给花千骨吃的那个包子毫无PS痕迹，非常好。4.剑插进身体里好歹给点血行吗？5.我果然还是不该对国产剧的特效报以任何希望。6.群演能不能走点心？
17	不不不bree	"后期…你麻痹…本来以为画面不错…结果被莫名其妙的剪辑跟配音毁得一塌糊涂…特效也很烂…亏我还期待了这么久…太让我失望了！！
好吧 看在演员演技不错的份上给4星中和下…"
18	从流涤荡	谁能告诉我这是什么狗逼玩意儿！错乱的剪辑加上改的面目全非的剧情，再加上女主角的亮瞎狗眼的青虫眉毛，还有这五毛的特效，说好的仙风道骨呢，说好的门派排场呢，我读书少别骗我，不是体质易招鬼怎么变成怪兽了呢，导演你真是日了狗了。
19	影中世界	看到五毛特效的怪兽我就关了
20	刘康康	一集弃。毁原著、毁白子画、毁杀阡陌。
21	jade	表妹的童年回忆，跟着她在电视上瞟了一眼，OMG，本来就不咋样的小说，被片方吹得无比高大上，惨不忍睹的特效，妆容...当年貌美如花的白豆腐怎么这样了？果然，国产电视神剧不能期待...想着看特效的都散了吧，想着看颜值的也都散了吧
22	Allegra	霍建华眼角眉梢威严与慈悲并存 ，自有一种看破世间万物的了然， 被他吸引的其他的特效都没来得及注意，大多数特效还是值5块的，值得一看
